dut_id:56100DLCQ00016 result:PASS time:30.158 device_config: G950-15970-04 station_id: MT5_FVN-E2F3-G01_FATP-AUDIO_BJ25A-01
phase,measurement,value,low_limit,high_limit,low_limit2,high_limit2
init_test_thread,Battery_Capacity,58,30.0 , 100.0,30.0 , 100.0
init_test_thread,speaker_cal,TRUE,'x' is True,,,
initial_dut_temperature,battery_temp,24.7,-inf , +inf,-inf , +inf
aow_info,connection_type,"""WIFI""",'x' is not None,,,
aow_info,ssid,"""MT5-G01-FATP-AUDIO01""",'x' is not None,,,
aow_info,freq,"""5700""",'x' is not None,,,
aow_info,rssi,"""-26""",'x' is not None,,,
DeviceInit,connection_type,"""WIFI""",'x' is not None,,,
mic_1_sens_functional,mic-1_sens_functional,-37.259,-90.0 , +inf,-90.0 , +inf
mic_1_sens,mic-1_sens,-37.259,-39.5 , -34.5,-39.5 , -34.5
mic_1_fr,mic-1_fr_00100.0,-37.668,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00106.0,-37.63,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00112.0,-37.591,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00118.0,-37.549,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00125.0,-37.501,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00132.0,-37.47,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00140.0,-37.458,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00150.0,-37.455,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00160.0,-37.483,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00170.0,-37.499,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00180.0,-37.5,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00190.0,-37.481,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00200.0,-37.448,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00212.0,-37.414,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00224.0,-37.387,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00236.0,-37.376,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00250.0,-37.366,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00265.0,-37.359,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00280.0,-37.349,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00300.0,-37.314,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00315.0,-37.274,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00335.0,-37.25,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00355.0,-37.258,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00375.0,-37.251,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00400.0,-37.226,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00425.0,-37.203,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00450.0,-37.194,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00475.0,-37.22,-inf , +inf,-inf , +inf
