phase,freq,low_limit,high_limit
mic-1_fr,100,-1,1
mic-1_fr,106,-1,1
mic-1_fr,112,-1,1
mic-1_fr,118,-1,1
mic-1_fr,125,-1,1
mic-1_fr,132,-1,1
mic-1_fr,140,-1,1
mic-1_fr,150,-0.5,0.5
mic-1_fr,160,-0.5,0.5
mic-1_fr,170,-0.5,0.5
mic-1_fr,180,-0.5,0.5
mic-1_fr,190,-0.5,0.5
mic-1_fr,200,-0.5,0.5
mic-1_fr,212,-0.5,0.5
mic-1_fr,224,-0.5,0.5
mic-1_fr,236,-0.5,0.5
mic-1_fr,250,-0.5,0.5
mic-1_fr,265,-0.5,0.5
mic-1_fr,280,-0.5,0.5
mic-1_fr,300,-0.5,0.5
mic-1_fr,315,-0.5,0.5
mic-1_fr,335,-0.5,0.5
mic-1_fr,355,-0.5,0.5
mic-1_fr,375,-0.5,0.5
mic-1_fr,400,-0.5,0.5
mic-1_fr,425,-0.5,0.5
mic-1_fr,450,-0.5,0.5
mic-1_fr,475,-0.5,0.5
mic-1_fr,500,-0.5,0.5
mic-1_fr,530,-0.5,0.5
mic-1_fr,560,-0.5,0.5
mic-1_fr,600,-0.5,0.5
mic-1_fr,630,-0.5,0.5
mic-1_fr,670,-0.5,0.5
mic-1_fr,710,-0.5,0.5
mic-1_fr,750,-0.5,0.5
mic-1_fr,800,-0.5,0.5
mic-1_fr,850,-0.5,0.5
mic-1_fr,900,-0.5,0.5
mic-1_fr,950,-0.5,0.5
mic-1_fr,1000,-0.5,0.5
mic-1_fr,1060,-0.5,0.5
mic-1_fr,1120,-0.5,0.5
mic-1_fr,1180,-0.5,0.5
mic-1_fr,1250,-0.5,0.5
mic-1_fr,1320,-0.5,0.5
mic-1_fr,1400,-0.5,0.5
mic-1_fr,1500,-0.5,0.5
mic-1_fr,1600,-0.5,0.5
mic-1_fr,1700,-0.5,0.5
mic-1_fr,1800,-0.5,0.5
mic-1_fr,1900,-0.5,0.5
mic-1_fr,2000,-0.5,0.5
mic-1_fr,2120,-0.5,0.5
mic-1_fr,2240,-0.5,0.5
mic-1_fr,2360,-0.5,0.5
mic-1_fr,2500,-0.5,0.5
mic-1_fr,2650,-0.5,0.5
mic-1_fr,2800,-0.5,0.5
mic-1_fr,3000,-0.5,0.5
mic-1_fr,3150,-1,1
mic-1_fr,3350,-1,1
mic-1_fr,3550,-1,1
mic-1_fr,3750,-1,1
mic-1_fr,4000,-1,1
mic-1_fr,4250,-1,1
mic-1_fr,4500,-1,1
mic-1_fr,4750,-1,1
mic-1_fr,5000,-1,1
mic-1_fr,5300,-1,1
mic-1_fr,5600,-1,1
mic-1_fr,6000,-1,1
mic-1_fr,6300,-1,1
mic-1_fr,6700,-1,1
mic-1_fr,7100,-1,1
mic-1_fr,7500,-1,1
mic-1_fr,8000,-1,1
mic-1_fr,8500,-1,1
mic-1_fr,9000,-1,1
mic-1_fr,9500,-1,1
mic-1_fr,10000,-1,1
mic-1_fr,10600,NA,NA
mic-1_fr,11200,NA,NA
mic-1_fr,11800,NA,NA
mic-1_fr,12500,NA,NA
mic-1_fr,13200,NA,NA
mic-1_fr,14000,NA,NA
mic-1_fr,15000,NA,NA
mic-1_fr,16000,NA,NA
mic-1_fr,17000,NA,NA
mic-1_fr,18000,NA,NA
mic-1_fr,19000,NA,NA
mic-1_fr,20000,NA,NA
mic-1_fr,21200,NA,NA
mic-1_fr,22400,NA,NA
mic-1_fr_norm,100,-1,1
mic-1_fr_norm,106,-1,1
mic-1_fr_norm,112,-1,1
mic-1_fr_norm,118,-1,1
mic-1_fr_norm,125,-1,1
mic-1_fr_norm,132,-1,1
mic-1_fr_norm,140,-1,1
mic-1_fr_norm,150,-0.5,0.5
mic-1_fr_norm,160,-0.5,0.5
mic-1_fr_norm,170,-0.5,0.5
mic-1_fr_norm,180,-0.5,0.5
