dut_id:56100DLCQ0001G result:PASS time:32.108 device_config: G950-15970-04 station_id: MT5_FVN-E1F3-G01_FATP-AUDIO_BJ25A-01
phase,measurement,value,low_limit,high_limit,low_limit2,high_limit2
init_test_thread,Battery_Capacity,38.0,30.0 , 100.0,30.0 , 100.0
init_test_thread,speaker_cal,true,'x' is True
initial_dut_temperature,battery_temp,26.1,-inf , +inf,-inf , +inf
aow_info,connection_type,"""WIFI""",'x' is not None
aow_info,ssid,"""MT-G02-AUDIO-01""",'x' is not None
aow_info,freq,"""5700""",'x' is not None
aow_info,rssi,"""-26""",'x' is not None
DeviceInit,connection_type,"""WIFI""",'x' is not None
mic_1_sens_functional,mic-1_sens_functional,-37.13,-90.0 , +inf,-90.0 , +inf
mic_1_sens,mic-1_sens,-37.13,-39.5 , -34.5,-39.5 , -34.5
mic_1_fr,mic-1_fr_00100.0,-37.993,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00106.0,-37.785,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00112.0,-37.616,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00118.0,-37.557,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00125.0,-37.488,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00132.0,-37.464,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00140.0,-37.503,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00150.0,-37.537,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00160.0,-37.53,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00170.0,-37.507,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00180.0,-37.463,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00190.0,-37.421,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00200.0,-37.382,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00212.0,-37.339,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00224.0,-37.301,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00236.0,-37.27,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00250.0,-37.239,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00265.0,-37.21,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00280.0,-37.19,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00300.0,-37.19,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00315.0,-37.192,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00335.0,-37.16,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00355.0,-37.128,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00375.0,-37.122,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00400.0,-37.119,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00425.0,-37.105,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00450.0,-37.088,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00475.0,-37.075,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00500.0,-37.071,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00530.0,-37.075,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00560.0,-37.072,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00600.0,-37.048,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00630.0,-37.032,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00670.0,-37.012,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00710.0,-37.002,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00750.0,-36.981,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00800.0,-36.99,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00850.0,-37.026,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00900.0,-37.078,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00950.0,-37.077,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01000.0,-37.13,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01060.0,-37.081,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01120.0,-37.012,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01180.0,-36.976,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01250.0,-36.992,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01320.0,-37.102,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01400.0,-37.11,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01500.0,-37.286,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01600.0,-37.054,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01700.0,-37.169,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01800.0,-37.297,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01900.0,-36.801,-inf , +inf,-inf , +inf
