dut_id:56100DLCQ00016 result:PASS time:31.15 device_config: G950-15970-04 station_id: MT5_FVN-E2F3-G01_FATP-AUDIO_BJ25A-01
phase,measurement,value,low_limit,high_limit,low_limit2,high_limit2
init_test_thread,Battery_Capacity,57,30.0 , 100.0,30.0 , 100.0
init_test_thread,speaker_cal,TRUE,'x' is True,,,
initial_dut_temperature,battery_temp,25.9,-inf , +inf,-inf , +inf
aow_info,connection_type,"""WIFI""",'x' is not None,,,
aow_info,ssid,"""MT5-G01-FATP-AUDIO01""",'x' is not None,,,
aow_info,freq,"""5700""",'x' is not None,,,
aow_info,rssi,"""-26""",'x' is not None,,,
DeviceInit,connection_type,"""WIFI""",'x' is not None,,,
mic_1_sens_functional,mic-1_sens_functional,-37.258,-90.0 , +inf,-90.0 , +inf
mic_1_sens,mic-1_sens,-37.258,-39.5 , -34.5,-39.5 , -34.5
mic_1_fr,mic-1_fr_00100.0,-37.674,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00106.0,-37.637,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00112.0,-37.6,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00118.0,-37.56,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00125.0,-37.514,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00132.0,-37.484,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00140.0,-37.472,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00150.0,-37.468,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00160.0,-37.49,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00170.0,-37.501,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00180.0,-37.498,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00190.0,-37.476,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00200.0,-37.442,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00212.0,-37.408,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00224.0,-37.38,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00236.0,-37.368,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00250.0,-37.36,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00265.0,-37.353,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00280.0,-37.343,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00300.0,-37.305,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00315.0,-37.261,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00335.0,-37.237,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00355.0,-37.248,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00375.0,-37.245,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00400.0,-37.223,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00425.0,-37.201,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00450.0,-37.191,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00475.0,-37.216,-inf , +inf,-inf , +inf
