phase,freq,low_limit,high_limit
mic-1_fr,100.0,-inf , +inf
mic-1_fr,106.0,-inf , +inf
mic-1_fr,112.0,-inf , +inf
mic-1_fr,118.0,-inf , +inf
mic-1_fr,125.0,-inf , +inf
mic-1_fr,132.0,-inf , +inf
mic-1_fr,140.0,-inf , +inf
mic-1_fr,150.0,-inf , +inf
mic-1_fr,160.0,-inf , +inf
mic-1_fr,170.0,-inf , +inf
mic-1_fr,180.0,-inf , +inf
mic-1_fr,190.0,-inf , +inf
mic-1_fr,200.0,-inf , +inf
mic-1_fr,212.0,-inf , +inf
mic-1_fr,224.0,-inf , +inf
mic-1_fr,236.0,-inf , +inf
mic-1_fr,250.0,-inf , +inf
mic-1_fr,265.0,-inf , +inf
mic-1_fr,280.0,-inf , +inf
mic-1_fr,300.0,-inf , +inf
mic-1_fr,315.0,-inf , +inf
mic-1_fr,335.0,-inf , +inf
mic-1_fr,355.0,-inf , +inf
mic-1_fr,375.0,-inf , +inf
mic-1_fr,400.0,-inf , +inf
mic-1_fr,425.0,-inf , +inf
mic-1_fr,450.0,-inf , +inf
mic-1_fr,475.0,-inf , +inf
mic-1_fr,500.0,-inf , +inf
mic-1_fr,530.0,-inf , +inf
mic-1_fr,560.0,-inf , +inf
mic-1_fr,600.0,-inf , +inf
mic-1_fr,630.0,-inf , +inf
mic-1_fr,670.0,-inf , +inf
mic-1_fr,710.0,-inf , +inf
mic-1_fr,750.0,-inf , +inf
mic-1_fr,800.0,-inf , +inf
mic-1_fr,850.0,-inf , +inf
mic-1_fr,900.0,-inf , +inf
mic-1_fr,950.0,-inf , +inf
mic-1_fr,1000.0,-inf , +inf
mic-1_fr,1060.0,-inf , +inf
mic-1_fr,1120.0,-inf , +inf
mic-1_fr,1180.0,-inf , +inf
mic-1_fr,1250.0,-inf , +inf
mic-1_fr,1320.0,-inf , +inf
mic-1_fr,1400.0,-inf , +inf
mic-1_fr,1500.0,-inf , +inf
mic-1_fr,1600.0,-inf , +inf
mic-1_fr,1700.0,-inf , +inf
mic-1_fr,1800.0,-inf , +inf
mic-1_fr,1900.0,-inf , +inf
mic-1_fr,2000.0,-inf , +inf
mic-1_fr,2120.0,-inf , +inf
mic-1_fr,2240.0,-inf , +inf
mic-1_fr,2360.0,-inf , +inf
mic-1_fr,2500.0,-inf , +inf
mic-1_fr,2650.0,-inf , +inf
mic-1_fr,2800.0,-inf , +inf
mic-1_fr,3000.0,-inf , +inf
mic-1_fr,3150.0,-inf , +inf
mic-1_fr,3350.0,-inf , +inf
mic-1_fr,3550.0,-inf , +inf
mic-1_fr,3750.0,-inf , +inf
mic-1_fr,4000.0,-inf , +inf
mic-1_fr,4250.0,-inf , +inf
mic-1_fr,4500.0,-inf , +inf
mic-1_fr,4750.0,-inf , +inf
mic-1_fr,5000.0,-inf , +inf
mic-1_fr,5300.0,-inf , +inf
mic-1_fr,5600.0,-inf , +inf
mic-1_fr,6000.0,-inf , +inf
mic-1_fr,6300.0,-inf , +inf
mic-1_fr,6700.0,-inf , +inf
mic-1_fr,7100.0,-inf , +inf
mic-1_fr,7500.0,-inf , +inf
mic-1_fr,8000.0,-inf , +inf
mic-1_fr,8500.0,-inf , +inf
mic-1_fr,9000.0,-inf , +inf
mic-1_fr,9500.0,-inf , +inf
mic-1_fr,10000.0,-inf , +inf
mic-1_fr,10600.0,-inf , +inf
mic-1_fr,11200.0,-inf , +inf
mic-1_fr,11800.0,-inf , +inf
mic-1_fr,12500.0,-inf , +inf
mic-1_fr,13200.0,-inf , +inf
mic-1_fr,14000.0,-inf , +inf
mic-1_fr,15000.0,-inf , +inf
mic-1_fr,16000.0,-inf , +inf
mic-1_fr,17000.0,-inf , +inf
mic-1_fr,18000.0,-inf , +inf
mic-1_fr,19000.0,-inf , +inf
mic-1_fr,20000.0,-inf , +inf
mic-1_fr,21200.0,-inf , +inf
mic-1_fr,22400.0,-inf , +inf
mic-1_fr_norm,100.0,-3.3 , 0.7
mic-1_fr_norm,106.0,-3.1 , 0.9
mic-1_fr_norm,112.0,-2.9 , 1.1
mic-1_fr_norm,118.0,-2.7 , 1.3
mic-1_fr_norm,125.0,-2.6 , 1.4
mic-1_fr_norm,132.0,-2.5 , 1.5
mic-1_fr_norm,140.0,-2.4 , 1.6
mic-1_fr_norm,150.0,-2.4 , 1.6
mic-1_fr_norm,160.0,-2.4 , 1.6
mic-1_fr_norm,170.0,-2.4 , 1.6
mic-1_fr_norm,180.0,-2.4 , 1.6
mic-1_fr_norm,190.0,-2.3 , 1.7
mic-1_fr_norm,200.0,-2.2 , 1.8
mic-1_fr_norm,212.0,-2.2 , 1.8
mic-1_fr_norm,224.0,-2.1 , 1.9
mic-1_fr_norm,236.0,-2.1 , 1.9
mic-1_fr_norm,250.0,-2.1 , 1.9
mic-1_fr_norm,265.0,-2.1 , 1.9
mic-1_fr_norm,280.0,-2.1 , 1.9
mic-1_fr_norm,300.0,-2.1 , 1.9
mic-1_fr_norm,315.0,-2.0 , 2.0
mic-1_fr_norm,335.0,-2.0 , 2.0
mic-1_fr_norm,355.0,-2.0 , 2.0
mic-1_fr_norm,375.0,-2.0 , 2.0
mic-1_fr_norm,400.0,-2.0 , 2.0
mic-1_fr_norm,425.0,-1.9 , 2.1
mic-1_fr_norm,450.0,-1.9 , 2.1
mic-1_fr_norm,475.0,-1.9 , 2.1
mic-1_fr_norm,500.0,-1.9 , 2.1
mic-1_fr_norm,530.0,-1.9 , 2.1
mic-1_fr_norm,560.0,-1.9 , 2.1
mic-1_fr_norm,600.0,-1.9 , 2.1
mic-1_fr_norm,630.0,-1.9 , 2.1
mic-1_fr_norm,670.0,-1.9 , 2.1
mic-1_fr_norm,710.0,-1.9 , 2.1
mic-1_fr_norm,750.0,-1.9 , 2.1
mic-1_fr_norm,800.0,-1.9 , 2.1
mic-1_fr_norm,850.0,-2.0 , 2.0
mic-1_fr_norm,900.0,-2.0 , 2.0
mic-1_fr_norm,950.0,-2.0 , 2.0
mic-1_fr_norm,1000.0,-2.0 , 2.0
mic-1_fr_norm,1060.0,-2.0 , 2.0
mic-1_fr_norm,1120.0,-2.0 , 2.0
mic-1_fr_norm,1180.0,-2.0 , 2.0
mic-1_fr_norm,1250.0,-2.0 , 2.0
mic-1_fr_norm,1320.0,-2.1 , 1.9
mic-1_fr_norm,1400.0,-2.1 , 1.9
mic-1_fr_norm,1500.0,-2.2 , 1.8
mic-1_fr_norm,1600.0,-2.2 , 1.8
mic-1_fr_norm,1700.0,-2.2 , 1.8
mic-1_fr_norm,1800.0,-2.2 , 1.8
mic-1_fr_norm,1900.0,-2.2 , 1.8
mic-1_fr_norm,2000.0,-2.3 , 1.7
mic-1_fr_norm,2120.0,-2.5 , 1.7
mic-1_fr_norm,2240.0,-2.5 , 1.7
mic-1_fr_norm,2360.0,-2.7 , 1.7
mic-1_fr_norm,2500.0,-2.9 , 1.7
mic-1_fr_norm,2650.0,-3.1 , 1.7
mic-1_fr_norm,2800.0,-3.1 , 1.7
mic-1_fr_norm,3000.0,-3.2 , 1.7
mic-1_fr_norm,3150.0,-3.4 , 1.7
mic-1_fr_norm,3350.0,-3.7 , 1.7
mic-1_fr_norm,3550.0,-4.0 , 1.7
mic-1_fr_norm,3750.0,-4.2 , 1.7
mic-1_fr_norm,4000.0,-4.3 , 1.7
mic-1_fr_norm,4250.0,-4.4 , 1.8
mic-1_fr_norm,4500.0,-4.5 , 1.9
mic-1_fr_norm,4750.0,-4.3 , 2.0
mic-1_fr_norm,5000.0,-4.5 , 2.0
mic-1_fr_norm,5300.0,-4.4 , 2.2
mic-1_fr_norm,5600.0,-4.4 , 2.3
mic-1_fr_norm,6000.0,-4.4 , 2.6
mic-1_fr_norm,6300.0,-4.2 , 3.2
mic-1_fr_norm,6700.0,-4.0 , 3.8
mic-1_fr_norm,7100.0,-3.6 , 4.8
mic-1_fr_norm,7500.0,-3.1 , 5.7
mic-1_fr_norm,8000.0,-2.6 , 6.9
mic-1_fr_norm,8500.0,-2.0 , 8.3
mic-1_fr_norm,9000.0,-1.2 , 10.4
mic-1_fr_norm,9500.0,-0.3 , 11.7
mic-1_fr_norm,10000.0,1.4 , 13.4
mic-1_fr_norm,10600.0,-inf , +inf
mic-1_fr_norm,11200.0,-inf , +inf
mic-1_fr_norm,11800.0,-inf , +inf
mic-1_fr_norm,12500.0,-inf , +inf
mic-1_fr_norm,13200.0,-inf , +inf
mic-1_fr_norm,14000.0,-inf , +inf
mic-1_fr_norm,15000.0,-inf , +inf
mic-1_fr_norm,16000.0,-inf , +inf
mic-1_fr_norm,17000.0,-inf , +inf
mic-1_fr_norm,18000.0,-inf , +inf
mic-1_fr_norm,19000.0,-inf , +inf
mic-1_fr_norm,20000.0,-inf , +inf
mic-1_fr_norm,21200.0,-inf , +inf
mic-1_fr_norm,22400.0,-inf , +inf
mic-1_thd,100.0,-inf , +inf
mic-1_thd,106.0,-inf , +inf
mic-1_thd,112.0,-inf , +inf
mic-1_thd,118.0,-inf , +inf
mic-1_thd,125.0,-inf , +inf
mic-1_thd,132.0,-inf , +inf
mic-1_thd,140.0,-inf , +inf
mic-1_thd,150.0,-inf , +inf
mic-1_thd,160.0,-inf , +inf
mic-1_thd,170.0,-inf , +inf
mic-1_thd,180.0,-inf , +inf
