dut_id:56100DLCQ00016 result:PASS time:30.422 device_config: G950-15970-04 station_id: MT5_FVN-E1F3-G01_FATP-AUDIO_BJ25A-01
phase,measurement,value,low_limit,high_limit,low_limit2,high_limit2
init_test_thread,Battery_Capacity,56,30.0 , 100.0,30.0 , 100.0
init_test_thread,speaker_cal,TRUE,'x' is True,,,
initial_dut_temperature,battery_temp,27.2,-inf , +inf,-inf , +inf
aow_info,connection_type,"""WIFI""",'x' is not None,,,
aow_info,ssid,"""MT-G02-AUDIO-01""",'x' is not None,,,
aow_info,freq,"""5700""",'x' is not None,,,
aow_info,rssi,"""-27""",'x' is not None,,,
DeviceInit,connection_type,"""WIFI""",'x' is not None,,,
mic_1_sens_functional,mic-1_sens_functional,-37.141,-90.0 , +inf,-90.0 , +inf
mic_1_sens,mic-1_sens,-37.141,-39.5 , -34.5,-39.5 , -34.5
mic_1_fr,mic-1_fr_00100.0,-37.973,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00106.0,-37.764,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00112.0,-37.596,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00118.0,-37.536,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00125.0,-37.467,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00132.0,-37.444,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00140.0,-37.484,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00150.0,-37.519,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00160.0,2,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00170.0,-37.497,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00180.0,-37.46,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00190.0,-37.425,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00200.0,-37.391,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00212.0,-37.353,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00224.0,-37.32,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00236.0,-37.294,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00250.0,-37.268,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00265.0,-37.242,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00280.0,-37.223,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00300.0,-37.223,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00315.0,-37.224,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00335.0,-37.192,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00355.0,-37.161,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00375.0,-37.156,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00400.0,-37.151,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00425.0,-37.138,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00450.0,-37.12,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00475.0,-37.102,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00500.0,-37.094,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00530.0,-37.103,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00560.0,-37.104,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00600.0,-37.083,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00630.0,-37.065,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00670.0,-37.043,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00710.0,-37.026,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00750.0,-36.996,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00800.0,-37.008,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00850.0,-37.042,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00900.0,-37.092,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00950.0,-37.092,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01000.0,-37.141,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01060.0,-37.087,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01120.0,-37.007,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01180.0,-36.974,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01250.0,-37.022,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01320.0,-37.136,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01400.0,-37.131,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01500.0,-37.256,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01600.0,-37.066,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01700.0,-37.202,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01800.0,-37.327,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01900.0,-36.811,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_02000.0,-36.73,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_02120.0,-36.938,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_02240.0,-37.024,-inf , +inf,-inf , +inf
