,0,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1629,1630,1631,1632,1633,1634,1635,1636,1637,1638,1639,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654
phase,dut_id,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn
freq,,300.0,315.0,335.0,355.0,375.0,400.0,425.0,450.0,475.0,500.0,530.0,560.0,600.0,630.0,670.0,710.0,750.0,800.0,850.0,900.0,950.0,1000.0,1060.0,1120.0,1180.0,1250.0,1320.0,1400.0,1500.0,1600.0,1700.0,1800.0,1900.0,2000.0,2120.0,2240.0,2360.0,2500.0,2650.0,2800.0,3000.0,3150.0,3350.0,3550.0,3750.0,4000.0
0,5B031FDDX00004,75.051,71.605,69.129,66.774,64.329,61.855,59.359,55.688,53.115,49.537,46.568,43.631,40.78,38.074,34.888,30.659,22.376,12.624,1.786,1.685,1.568,1.473,1.346,1.215,1.103,0.992,0.888,0.798,0.681,0.607,0.537,0.523,0.475,0.473,0.507,0.499,0.489,0.454,0.497,0.545,0.499,0.522,0.548,0.551,0.556,0.51
1,5B031FDDX00004,75.001,71.541,69.094,66.728,64.407,61.807,59.371,55.595,53.146,49.393,46.615,43.61,40.851,38.04,34.961,30.664,22.431,12.596,1.797,1.699,1.576,1.471,1.338,1.225,1.12,0.992,0.883,0.792,0.691,0.622,0.548,0.513,0.475,0.481,0.509,0.49,0.497,0.451,0.493,0.506,0.478,0.515,0.542,0.523,0.595,0.524
2,5B031FDDX00004,75.076,71.623,69.284,66.862,64.472,61.911,59.438,55.709,53.242,49.52,46.699,43.644,40.889,38.118,35.006,30.745,22.439,12.681,1.793,1.689,1.571,1.48,1.348,1.214,1.114,0.991,0.889,0.804,0.682,0.608,0.54,0.531,0.489,0.471,0.499,0.482,0.499,0.47,0.541,0.515,0.487,0.525,0.533,0.545,0.566,0.569
3,5B031FDDX00004,75.008,71.561,69.219,66.854,64.423,61.897,59.413,55.716,53.207,49.477,46.615,43.639,40.851,38.095,34.948,30.691,22.4,12.634,1.799,1.691,1.578,1.468,1.343,1.226,1.108,0.992,0.88,0.792,0.684,0.603,0.547,0.511,0.484,0.482,0.498,0.488,0.472,0.464,0.497,0.499,0.483,0.514,0.527,0.516,0.538,0.535
4,5B031FDDX00004,75.263,71.795,69.393,66.876,64.523,61.92,59.407,55.748,53.212,49.523,46.67,43.694,40.877,38.106,34.937,30.75,22.445,12.711,1.795,1.686,1.579,1.47,1.336,1.222,1.1,0.988,0.885,0.79,0.681,0.601,0.545,0.512,0.477,0.473,0.489,0.485,0.471,0.445,0.485,0.491,0.477,0.503,0.519,0.516,0.531,0.531
5,5B031FDDX00004,75.114,71.651,69.259,66.935,64.514,61.959,59.471,55.732,53.354,49.554,46.741,43.699,40.929,38.149,35.231,30.738,22.564,12.684,1.795,1.684,1.578,1.478,1.345,1.215,1.107,0.993,0.901,0.794,0.68,0.616,0.529,0.516,0.476,0.467,0.492,0.485,0.488,0.451,0.484,0.5,0.502,0.522,0.534,0.523,0.538,0.538
6,5B031FDDX00004,74.644,71.114,68.694,66.391,63.969,61.391,58.986,55.208,52.744,48.987,46.203,43.179,40.447,37.618,34.521,30.263,22.09,12.311,1.777,1.669,1.554,1.454,1.331,1.211,1.092,0.995,0.86,0.771,0.678,0.617,0.553,0.517,0.496,0.482,0.499,0.489,0.481,0.456,0.487,0.492,0.463,0.497,0.508,0.512,0.526,0.526
7,5B031FDDX00004,74.624,71.15,68.767,66.407,63.998,61.581,58.998,55.264,52.78,49.088,46.237,43.194,40.445,37.667,34.537,30.326,22.106,12.424,1.797,1.698,1.56,1.55,1.326,1.213,1.097,0.976,0.881,0.784,0.677,0.597,0.548,0.52,0.483,0.491,0.496,0.483,0.475,0.459,0.486,0.492,0.478,0.499,0.515,0.512,0.527,0.52
8,5B031FDDX00004,74.705,71.19,68.776,66.386,64.072,61.466,59.03,55.288,52.771,49.09,46.246,43.253,40.474,37.737,34.627,30.319,22.149,12.383,1.78,1.638,1.552,1.452,1.322,1.205,1.094,0.981,0.872,0.783,0.673,0.602,0.548,0.526,0.491,0.479,0.492,0.484,0.471,0.447,0.479,0.488,0.468,0.495,0.509,0.507,0.523,0.51
9,5B031FDDX00004,74.654,71.186,68.747,66.418,64.017,61.433,58.967,55.234,52.801,49.066,46.233,43.225,40.418,37.646,34.544,30.259,22.08,12.306,1.776,1.664,1.557,1.454,1.335,1.21,1.091,0.982,0.87,0.783,0.681,0.605,0.545,0.526,0.487,0.479,0.501,0.487,0.475,0.454,0.491,0.49,0.463,0.526,0.506,0.518,0.525,0.54
10,5B031FDDX00004,74.75,71.268,68.832,66.494,64.081,61.551,59.015,55.33,52.802,49.129,46.263,43.309,40.471,37.769,34.591,30.41,22.149,12.428,1.774,1.662,1.551,1.455,1.327,1.201,1.095,0.981,0.88,0.777,0.674,0.61,0.547,0.524,0.482,0.48,0.499,0.485,0.462,0.452,0.486,0.491,0.475,0.54,0.562,0.516,0.563,0.547
11,5B031FDDX00004,74.694,71.221,68.767,66.407,64.078,61.506,59.035,55.311,52.818,49.133,46.291,43.263,40.488,37.694,34.573,30.296,22.096,12.343,1.779,1.672,1.555,1.457,1.329,1.205,1.096,0.97,0.869,0.817,0.675,0.601,0.539,0.521,0.479,0.477,0.494,0.485,0.473,0.456,0.491,0.489,0.469,0.5,0.507,0.51,0.526,0.523
12,5B031FDDX00004,74.609,73.714,72.537,71.264,70.075,68.613,63.757,60.198,56.577,53.068,48.901,46.124,43.203,40.628,37.446,30.32,22.049,12.311,1.811,1.695,1.582,1.466,1.35,1.231,1.125,1.006,0.905,0.797,0.694,0.614,0.559,0.534,0.511,0.494,0.485,0.471,0.456,0.436,0.442,0.428,0.446,0.467,0.508,0.505,0.479,0.487
13,5B031FDDX00004,74.69,73.821,72.588,71.392,70.157,68.625,63.806,60.215,56.607,53.109,48.917,46.149,43.227,40.647,37.453,30.299,22.028,12.301,1.803,1.699,1.579,1.47,1.35,1.229,1.121,1.009,0.901,0.796,0.692,0.617,0.56,0.541,0.507,0.5,0.487,0.469,0.458,0.444,0.447,0.432,0.446,0.467,0.513,0.507,0.479,0.492
