,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
5,-37.904,-37.911,-37.899,-37.91,-37.899,-37.91,-37.901,-37.919,-37.912,-37.991,-38.002,-38.005,-37.993,-38.013,-37.994,-38.011,-38.001,-37.993,-37.959,-37.958,-37.963,-37.958,-37.957,-37.975,-37.956,-37.951,-37.949,-37.763,-37.758,-37.744,-37.763,-37.741,-37.743,-37.731,-37.75,-37.749,-38.494,-38.494,-38.502,-38.505,-38.476,-38.493,-38.489,-38.477,-38.488,-37.979,-37.979,-37.944,-37.956,-37.96,-37.983,-37.969,-37.978,-37.967,-38.072,-38.013,-38.029,-38.008,-38.028,-38.034,-38.014,-38.036,-38.047,-38.005,-38.031,-38.008,-37.999,-38.014,-38.017,-38.001,-38.011,-38.007,-37.781,-37.778,-37.775,-37.792,-37.775,-37.765,-37.789,-37.758,-37.77,-38.536,-38.427,-38.537,-38.54,-38.541,-38.534,-38.518,-38.522,-38.429,-38.302,-38.312,-38.284,-38.302,-38.289,-38.28,-38.292,-38.303,-38.282,-38.441,-38.429,-38.421,-38.411,-38.423,-38.418,-38.412,-38.398,-38.42,-38.371,-38.371,-38.364,-38.372,-38.369,-38.356,-38.352,-38.353,-38.344,-38.128,-38.115,-38.119,-38.123,-38.112,-38.098,-38.126,-38.108,-38.118,-38.933,-38.939,-38.912,-38.915,-38.928,-38.894,-38.921,-38.92,-38.91
6,-37.692,-37.699,-37.686,-37.696,-37.683,-37.695,-37.691,-37.706,-37.697,-37.785,-37.795,-37.797,-37.782,-37.805,-37.786,-37.798,-37.795,-37.785,-37.747,-37.752,-37.752,-37.749,-37.748,-37.761,-37.747,-37.743,-37.741,-37.548,-37.543,-37.532,-37.548,-37.523,-37.527,-37.514,-37.531,-37.534,-38.287,-38.28,-38.289,-38.294,-38.267,-38.286,-38.28,-38.268,-38.281,-37.779,-37.781,-37.746,-37.759,-37.761,-37.781,-37.77,-37.779,-37.766,-37.873,-37.822,-37.834,-37.819,-37.832,-37.837,-37.818,-37.838,-37.848,-37.814,-37.836,-37.812,-37.806,-37.816,-37.82,-37.808,-37.812,-37.81,-37.58,-37.58,-37.575,-37.589,-37.577,-37.562,-37.585,-37.557,-37.571,-38.343,-38.232,-38.343,-38.345,-38.345,-38.34,-38.321,-38.327,-38.227,-38.236,-38.245,-38.22,-38.235,-38.228,-38.214,-38.226,-38.236,-38.216,-38.371,-38.359,-38.349,-38.337,-38.348,-38.343,-38.338,-38.32,-38.342,-38.299,-38.297,-38.289,-38.295,-38.291,-38.283,-38.276,-38.277,-38.26,-38.071,-38.051,-38.055,-38.057,-38.048,-38.033,-38.063,-38.046,-38.054,-38.861,-38.867,-38.84,-38.84,-38.855,-38.819,-38.846,-38.846,-38.836
7,-37.52,-37.528,-37.514,-37.522,-37.508,-37.52,-37.521,-37.533,-37.523,-37.619,-37.628,-37.629,-37.612,-37.637,-37.617,-37.625,-37.627,-37.616,-37.577,-37.586,-37.582,-37.581,-37.58,-37.588,-37.577,-37.576,-37.575,-37.374,-37.369,-37.361,-37.372,-37.346,-37.351,-37.339,-37.353,-37.36,-38.12,-38.106,-38.117,-38.123,-38.099,-38.119,-38.111,-38.099,-38.112,-37.612,-37.616,-37.581,-37.595,-37.596,-37.614,-37.606,-37.612,-37.6,-37.707,-37.664,-37.672,-37.662,-37.67,-37.673,-37.656,-37.673,-37.682,-37.655,-37.675,-37.65,-37.646,-37.651,-37.656,-37.648,-37.646,-37.646,-37.413,-37.417,-37.41,-37.42,-37.411,-37.394,-37.416,-37.39,-37.406,-38.182,-38.07,-38.182,-38.183,-38.182,-38.179,-38.159,-38.166,-38.059,-38.17,-38.178,-38.157,-38.168,-38.166,-38.149,-38.16,-38.17,-38.149,-38.301,-38.291,-38.279,-38.265,-38.275,-38.27,-38.266,-38.244,-38.266,-38.229,-38.224,-38.216,-38.221,-38.215,-38.213,-38.203,-38.204,-38.18,-38.012,-37.987,-37.991,-37.991,-37.983,-37.969,-37.999,-37.984,-37.989,-38.791,-38.796,-38.771,-38.766,-38.783,-38.747,-38.773,-38.773,-38.764
8,-37.458,-37.466,-37.454,-37.458,-37.447,-37.456,-37.458,-37.468,-37.46,-37.561,-37.568,-37.569,-37.55,-37.576,-37.556,-37.56,-37.567,-37.557,-37.517,-37.53,-37.524,-37.524,-37.521,-37.526,-37.518,-37.518,-37.518,-37.307,-37.304,-37.299,-37.307,-37.279,-37.286,-37.275,-37.286,-37.297,-38.06,-38.044,-38.055,-38.061,-38.04,-38.06,-38.05,-38.038,-38.051,-37.538,-37.541,-37.507,-37.521,-37.523,-37.54,-37.533,-37.536,-37.525,-37.631,-37.594,-37.601,-37.596,-37.599,-37.601,-37.585,-37.6,-37.607,-37.585,-37.602,-37.578,-37.575,-37.579,-37.584,-37.578,-37.571,-37.575,-37.338,-37.344,-37.337,-37.341,-37.337,-37.32,-37.34,-37.317,-37.334,-38.111,-37.999,-38.111,-38.111,-38.111,-38.109,-38.089,-38.096,-37.985,-38.1,-38.108,-38.094,-38.096,-38.101,-38.083,-38.094,-38.1,-38.082,-38.233,-38.225,-38.212,-38.2,-38.206,-38.202,-38.199,-38.176,-38.194,-38.164,-38.156,-38.148,-38.151,-38.145,-38.147,-38.136,-38.138,-38.108,-37.947,-37.919,-37.925,-37.922,-37.917,-37.902,-37.93,-37.919,-37.922,-38.723,-38.727,-38.705,-38.699,-38.714,-38.683,-38.704,-38.704,-38.695
9,-37.385,-37.395,-37.384,-37.383,-37.375,-37.382,-37.385,-37.393,-37.388,-37.494,-37.499,-37.499,-37.478,-37.505,-37.486,-37.484,-37.497,-37.488,-37.448,-37.464,-37.456,-37.458,-37.452,-37.455,-37.45,-37.452,-37.453,-37.23,-37.229,-37.227,-37.231,-37.202,-37.21,-37.201,-37.207,-37.224,-37.991,-37.973,-37.982,-37.99,-37.971,-37.992,-37.979,-37.967,-37.981,-37.452,-37.453,-37.421,-37.436,-37.437,-37.453,-37.449,-37.448,-37.44,-37.543,-37.514,-37.518,-37.518,-37.516,-37.518,-37.503,-37.516,-37.519,-37.504,-37.518,-37.495,-37.494,-37.496,-37.5,-37.498,-37.484,-37.492,-37.251,-37.261,-37.252,-37.25,-37.251,-37.234,-37.252,-37.232,-37.252,-38.03,-37.917,-38.029,-38.028,-38.027,-38.027,-38.009,-38.015,-37.899,-38.019,-38.028,-38.021,-38.013,-38.026,-38.007,-38.018,-38.02,-38.005,-38.154,-38.15,-38.135,-38.125,-38.126,-38.123,-38.122,-38.097,-38.111,-38.087,-38.078,-38.069,-38.07,-38.063,-38.071,-38.058,-38.062,-38.025,-37.872,-37.841,-37.848,-37.843,-37.84,-37.825,-37.85,-37.844,-37.844,-38.644,-38.648,-38.629,-38.62,-38.635,-38.608,-38.624,-38.624,-38.616
10,-37.362,-37.371,-37.362,-37.358,-37.354,-37.358,-37.361,-37.366,-37.364,-37.473,-37.475,-37.476,-37.453,-37.481,-37.462,-37.457,-37.473,-37.464,-37.426,-37.443,-37.433,-37.437,-37.429,-37.43,-37.427,-37.43,-37.433,-37.203,-37.204,-37.204,-37.205,-37.175,-37.184,-37.178,-37.18,-37.199,-37.966,-37.95,-37.957,-37.965,-37.95,-37.97,-37.953,-37.944,-37.957,-37.414,-37.413,-37.383,-37.399,-37.4,-37.415,-37.412,-37.409,-37.402,-37.502,-37.478,-37.48,-37.485,-37.479,-37.48,-37.467,-37.478,-37.478,-37.468,-37.479,-37.458,-37.457,-37.459,-37.461,-37.461,-37.445,-37.455,-37.212,-37.224,-37.215,-37.208,-37.213,-37.197,-37.213,-37.195,-37.216,-37.993,-37.88,-37.992,-37.99,-37.99,-37.991,-37.974,-37.98,-37.862,-37.972,-37.981,-37.981,-37.965,-37.984,-37.965,-37.974,-37.973,-37.961,-38.108,-38.106,-38.092,-38.082,-38.08,-38.078,-38.078,-38.052,-38.062,-38.044,-38.033,-38.025,-38.023,-38.018,-38.028,-38.015,-38.02,-37.979,-37.828,-37.796,-37.806,-37.798,-37.797,-37.782,-37.803,-37.802,-37.799,-38.6,-38.601,-38.586,-38.575,-38.59,-38.568,-38.579,-38.578,-38.57
11,-37.405,-37.413,-37.409,-37.4,-37.401,-37.401,-37.403,-37.405,-37.408,-37.516,-37.515,-37.516,-37.494,-37.52,-37.503,-37.494,-37.511,-37.503,-37.467,-37.484,-37.473,-37.479,-37.469,-37.47,-37.469,-37.469,-37.476,-37.243,-37.246,-37.248,-37.248,-37.218,-37.228,-37.223,-37.222,-37.241,-38.004,-37.994,-37.996,-38.005,-37.993,-38.01,-37.991,-37.985,-37.996,-37.44,-37.436,-37.408,-37.424,-37.426,-37.44,-37.436,-37.433,-37.429,-37.522,-37.501,-37.502,-37.509,-37.501,-37.501,-37.492,-37.5,-37.498,-37.491,-37.5,-37.48,-37.48,-37.485,-37.484,-37.484,-37.467,-37.479,-37.239,-37.251,-37.241,-37.231,-37.238,-37.224,-37.238,-37.222,-37.242,-38.017,-37.906,-38.016,-38.012,-38.012,-38.014,-37.999,-38.005,-37.889,-37.968,-37.976,-37.983,-37.959,-37.984,-37.965,-37.972,-37.967,-37.958,-38.103,-38.102,-38.09,-38.08,-38.076,-38.075,-38.076,-38.051,-38.057,-38.042,-38.03,-38.023,-38.02,-38.018,-38.025,-38.014,-38.021,-37.979,-37.823,-37.794,-37.805,-37.795,-37.796,-37.783,-37.795,-37.803,-37.796,-38.597,-38.596,-38.584,-38.573,-38.586,-38.57,-38.576,-38.575,-38.566
12,-37.446,-37.452,-37.452,-37.44,-37.446,-37.443,-37.442,-37.441,-37.449,-37.554,-37.549,-37.552,-37.531,-37.554,-37.539,-37.527,-37.545,-37.537,-37.505,-37.521,-37.507,-37.517,-37.504,-37.506,-37.506,-37.504,-37.514,-37.28,-37.285,-37.288,-37.287,-37.259,-37.269,-37.266,-37.261,-37.28,-38.036,-38.035,-38.032,-38.041,-38.032,-38.046,-38.024,-38.024,-38.032,-37.465,-37.459,-37.433,-37.449,-37.453,-37.465,-37.46,-37.458,-37.455,-37.541,-37.523,-37.522,-37.531,-37.522,-37.521,-37.517,-37.521,-37.517,-37.512,-37.519,-37.502,-37.502,-37.51,-37.504,-37.505,-37.489,-37.501,-37.266,-37.277,-37.266,-37.255,-37.263,-37.251,-37.263,-37.249,-37.268,-38.039,-37.93,-38.037,-38.033,-38.032,-38.036,-38.023,-38.029,-37.916,-37.978,-37.984,-37.998,-37.967,-37.998,-37.979,-37.983,-37.975,-37.969,-38.11,-38.109,-38.099,-38.089,-38.083,-38.084,-38.086,-38.061,-38.065,-38.051,-38.04,-38.035,-38.03,-38.03,-38.034,-38.025,-38.034,-37.993,-37.831,-37.804,-37.817,-37.806,-37.808,-37.798,-37.801,-37.816,-37.805,-38.608,-38.601,-38.594,-38.581,-38.594,-38.584,-38.585,-38.583,-38.574
13,-37.451,-37.452,-37.454,-37.442,-37.451,-37.448,-37.445,-37.44,-37.453,-37.551,-37.541,-37.546,-37.528,-37.547,-37.536,-37.523,-37.538,-37.53,-37.503,-37.514,-37.502,-37.511,-37.498,-37.503,-37.502,-37.498,-37.509,-37.28,-37.283,-37.288,-37.287,-37.265,-37.273,-37.268,-37.264,-37.28,-38.028,-38.033,-38.029,-38.035,-38.03,-38.038,-38.019,-38.024,-38.027,-37.473,-37.465,-37.441,-37.456,-37.462,-37.472,-37.464,-37.468,-37.463,-37.54,-37.525,-37.52,-37.53,-37.523,-37.518,-37.521,-37.521,-37.517,-37.513,-37.518,-37.504,-37.505,-37.513,-37.505,-37.504,-37.493,-37.5,-37.276,-37.284,-37.273,-37.264,-37.272,-37.261,-37.271,-37.258,-37.273,-38.039,-37.935,-38.036,-38.034,-38.031,-38.036,-38.024,-38.03,-37.925,-38.029,-38.031,-38.047,-38.017,-38.048,-38.031,-38.03,-38.024,-38.018,-38.154,-38.149,-38.143,-38.131,-38.125,-38.128,-38.131,-38.106,-38.109,-38.094,-38.083,-38.082,-38.077,-38.079,-38.077,-38.071,-38.08,-38.043,-37.876,-37.854,-37.866,-37.856,-37.856,-37.851,-37.848,-37.864,-37.851,-38.653,-38.643,-38.637,-38.622,-38.636,-38.631,-38.63,-38.627,-38.619
14,-37.439,-37.436,-37.438,-37.429,-37.437,-37.437,-37.431,-37.425,-37.439,-37.531,-37.517,-37.523,-37.508,-37.523,-37.515,-37.503,-37.514,-37.507,-37.484,-37.492,-37.481,-37.488,-37.478,-37.482,-37.481,-37.475,-37.487,-37.264,-37.266,-37.272,-37.27,-37.255,-37.26,-37.253,-37.251,-37.264,-38.005,-38.013,-38.009,-38.013,-38.011,-38.015,-38.0,-38.006,-38.006,-37.466,-37.457,-37.435,-37.449,-37.456,-37.465,-37.454,-37.462,-37.457,-37.526,-37.513,-37.504,-37.514,-37.509,-37.501,-37.509,-37.507,-37.504,-37.499,-37.502,-37.492,-37.493,-37.5,-37.491,-37.489,-37.48,-37.485,-37.271,-37.276,-37.266,-37.259,-37.266,-37.256,-37.264,-37.251,-37.265,-38.024,-37.926,-38.021,-38.019,-38.015,-38.022,-38.01,-38.016,-37.918,-38.056,-38.054,-38.071,-38.044,-38.073,-38.059,-38.053,-38.05,-38.044,-38.173,-38.165,-38.161,-38.148,-38.143,-38.146,-38.15,-38.126,-38.129,-38.111,-38.102,-38.103,-38.098,-38.102,-38.096,-38.091,-38.1,-38.067,-37.898,-37.879,-37.89,-37.88,-37.881,-37.879,-37.874,-37.885,-37.875,-38.673,-38.659,-38.656,-38.638,-38.652,-38.651,-38.649,-38.645,-38.641
