,phase,freq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
100,mic-1_fr_norm,100.0,-0.821,-0.832,-0.816,-0.834,-0.829,-0.809,-0.833,-0.827,-0.822,-0.815,-0.394,-0.409,-0.396,-0.398,-0.4,-0.4,-0.416,-0.416,-0.417,-0.387
101,mic-1_fr_norm,106.0,-0.614,-0.623,-0.608,-0.623,-0.618,-0.601,-0.622,-0.616,-0.61,-0.606,-0.366,-0.371,-0.361,-0.362,-0.363,-0.364,-0.379,-0.38,-0.385,-0.35
102,mic-1_fr_norm,112.0,-0.447,-0.455,-0.439,-0.451,-0.447,-0.433,-0.452,-0.444,-0.438,-0.437,-0.335,-0.332,-0.327,-0.326,-0.327,-0.328,-0.342,-0.344,-0.351,-0.312
103,mic-1_fr_norm,118.0,-0.386,-0.395,-0.378,-0.388,-0.384,-0.372,-0.39,-0.38,-0.374,-0.375,-0.3,-0.29,-0.292,-0.289,-0.288,-0.29,-0.302,-0.306,-0.314,-0.276
104,mic-1_fr_norm,125.0,-0.315,-0.326,-0.306,-0.315,-0.31,-0.302,-0.319,-0.305,-0.299,-0.305,-0.259,-0.242,-0.25,-0.246,-0.243,-0.245,-0.256,-0.261,-0.271,-0.233
105,mic-1_fr_norm,132.0,-0.293,-0.303,-0.283,-0.289,-0.285,-0.279,-0.296,-0.279,-0.274,-0.282,-0.232,-0.211,-0.225,-0.219,-0.214,-0.217,-0.226,-0.231,-0.242,-0.207
106,mic-1_fr_norm,140.0,-0.338,-0.343,-0.325,-0.331,-0.327,-0.321,-0.341,-0.318,-0.315,-0.325,-0.221,-0.199,-0.217,-0.209,-0.205,-0.208,-0.214,-0.22,-0.228,-0.201
107,mic-1_fr_norm,150.0,-0.379,-0.378,-0.365,-0.368,-0.365,-0.36,-0.382,-0.355,-0.355,-0.366,-0.217,-0.196,-0.216,-0.206,-0.202,-0.207,-0.21,-0.215,-0.221,-0.202
108,mic-1_fr_norm,160.0,-0.382,-0.374,-0.368,-0.368,-0.366,-0.362,-0.384,-0.359,-0.359,-0.369,-0.241,-0.224,-0.238,-0.228,-0.227,-0.232,-0.232,-0.237,-0.238,-0.227
109,mic-1_fr_norm,170.0,-0.366,-0.356,-0.354,-0.352,-0.352,-0.348,-0.368,-0.348,-0.347,-0.356,-0.253,-0.24,-0.249,-0.24,-0.241,-0.245,-0.243,-0.247,-0.246,-0.241
110,mic-1_fr_norm,180.0,-0.327,-0.319,-0.318,-0.316,-0.315,-0.312,-0.328,-0.316,-0.315,-0.319,-0.251,-0.241,-0.244,-0.236,-0.239,-0.242,-0.24,-0.243,-0.24,-0.237
111,mic-1_fr_norm,190.0,-0.287,-0.284,-0.282,-0.28,-0.28,-0.277,-0.289,-0.283,-0.283,-0.283,-0.23,-0.222,-0.223,-0.217,-0.22,-0.221,-0.218,-0.221,-0.219,-0.216
112,mic-1_fr_norm,200.0,-0.247,-0.25,-0.247,-0.245,-0.246,-0.243,-0.25,-0.249,-0.251,-0.246,-0.196,-0.189,-0.19,-0.187,-0.189,-0.188,-0.184,-0.187,-0.188,-0.183
113,mic-1_fr_norm,212.0,-0.206,-0.212,-0.208,-0.205,-0.207,-0.206,-0.208,-0.21,-0.214,-0.206,-0.161,-0.155,-0.157,-0.158,-0.158,-0.155,-0.15,-0.152,-0.157,-0.15
114,mic-1_fr_norm,224.0,-0.171,-0.179,-0.173,-0.17,-0.173,-0.173,-0.171,-0.173,-0.179,-0.17,-0.133,-0.128,-0.131,-0.135,-0.133,-0.128,-0.122,-0.124,-0.131,-0.123
115,mic-1_fr_norm,236.0,-0.147,-0.153,-0.146,-0.145,-0.146,-0.146,-0.143,-0.144,-0.15,-0.143,-0.119,-0.117,-0.118,-0.121,-0.121,-0.115,-0.11,-0.11,-0.119,-0.11
116,mic-1_fr_norm,250.0,-0.124,-0.127,-0.122,-0.121,-0.121,-0.12,-0.117,-0.117,-0.122,-0.119,-0.107,-0.107,-0.107,-0.109,-0.11,-0.104,-0.102,-0.099,-0.107,-0.099
117,mic-1_fr_norm,265.0,-0.101,-0.101,-0.098,-0.098,-0.097,-0.095,-0.094,-0.093,-0.098,-0.096,-0.099,-0.1,-0.097,-0.099,-0.101,-0.095,-0.095,-0.093,-0.096,-0.09
118,mic-1_fr_norm,280.0,-0.083,-0.082,-0.081,-0.082,-0.081,-0.079,-0.078,-0.078,-0.082,-0.081,-0.089,-0.09,-0.085,-0.088,-0.09,-0.084,-0.085,-0.084,-0.084,-0.08
119,mic-1_fr_norm,300.0,-0.082,-0.082,-0.083,-0.083,-0.082,-0.082,-0.082,-0.081,-0.084,-0.084,-0.052,-0.055,-0.047,-0.049,-0.053,-0.047,-0.047,-0.046,-0.045,-0.044
120,mic-1_fr_norm,315.0,-0.082,-0.083,-0.084,-0.083,-0.083,-0.084,-0.083,-0.084,-0.085,-0.087,-0.008,-0.015,-0.004,-0.005,-0.01,-0.004,-0.003,-0.001,-0.001,-0.002
121,mic-1_fr_norm,335.0,-0.049,-0.051,-0.051,-0.051,-0.051,-0.051,-0.051,-0.053,-0.052,-0.056,0.019,0.009,0.019,0.019,0.016,0.019,0.021,0.024,0.023,0.023
122,mic-1_fr_norm,355.0,-0.018,-0.02,-0.02,-0.02,-0.02,-0.019,-0.02,-0.022,-0.022,-0.026,0.01,0.001,0.008,0.007,0.006,0.008,0.01,0.013,0.01,0.013
123,mic-1_fr_norm,375.0,-0.014,-0.015,-0.016,-0.015,-0.016,-0.014,-0.016,-0.017,-0.017,-0.02,0.013,0.008,0.011,0.009,0.009,0.011,0.013,0.014,0.012,0.017
124,mic-1_fr_norm,400.0,-0.011,-0.01,-0.012,-0.011,-0.013,-0.01,-0.012,-0.013,-0.013,-0.015,0.035,0.033,0.035,0.032,0.033,0.034,0.035,0.036,0.036,0.041
125,mic-1_fr_norm,425.0,0.003,0.003,0.002,0.001,0.002,0.002,0.002,0,0.001,0.001,0.057,0.056,0.058,0.054,0.055,0.056,0.057,0.057,0.059,0.064
126,mic-1_fr_norm,450.0,0.021,0.021,0.019,0.019,0.02,0.019,0.019,0.018,0.019,0.019,0.065,0.065,0.066,0.063,0.065,0.065,0.067,0.066,0.067,0.072
127,mic-1_fr_norm,475.0,0.04,0.039,0.037,0.036,0.038,0.037,0.035,0.036,0.037,0.035,0.04,0.039,0.04,0.039,0.041,0.04,0.042,0.04,0.042,0.046
128,mic-1_fr_norm,500.0,0.048,0.047,0.045,0.045,0.045,0.046,0.043,0.044,0.045,0.043,0.033,0.032,0.033,0.032,0.034,0.033,0.034,0.033,0.035,0.038
129,mic-1_fr_norm,530.0,0.037,0.038,0.036,0.036,0.038,0.037,0.037,0.037,0.037,0.037,0.074,0.076,0.076,0.074,0.075,0.075,0.077,0.076,0.079,0.08
130,mic-1_fr_norm,560.0,0.034,0.037,0.036,0.036,0.038,0.037,0.039,0.036,0.037,0.038,0.084,0.086,0.085,0.084,0.083,0.084,0.086,0.086,0.087,0.089
131,mic-1_fr_norm,600.0,0.058,0.058,0.061,0.061,0.061,0.06,0.061,0.061,0.061,0.061,0.066,0.066,0.064,0.064,0.064,0.063,0.065,0.066,0.065,0.068
132,mic-1_fr_norm,630.0,0.076,0.076,0.079,0.077,0.078,0.077,0.079,0.08,0.079,0.078,0.059,0.06,0.058,0.058,0.058,0.058,0.06,0.06,0.06,0.062
133,mic-1_fr_norm,670.0,0.099,0.098,0.099,0.097,0.099,0.098,0.098,0.1,0.099,0.097,0.065,0.069,0.067,0.065,0.066,0.065,0.066,0.066,0.067,0.07
134,mic-1_fr_norm,710.0,0.117,0.115,0.116,0.113,0.115,0.114,0.115,0.113,0.113,0.112,0.069,0.072,0.07,0.068,0.07,0.067,0.068,0.071,0.072,0.073
135,mic-1_fr_norm,750.0,0.148,0.145,0.146,0.141,0.143,0.143,0.145,0.141,0.143,0.143,0.064,0.066,0.067,0.063,0.065,0.065,0.065,0.067,0.07,0.069
136,mic-1_fr_norm,800.0,0.135,0.133,0.134,0.131,0.133,0.133,0.133,0.134,0.134,0.132,0.064,0.068,0.067,0.067,0.067,0.065,0.067,0.067,0.07,0.069
137,mic-1_fr_norm,850.0,0.098,0.099,0.099,0.096,0.094,0.097,0.096,0.098,0.1,0.097,0.063,0.065,0.062,0.061,0.063,0.06,0.063,0.061,0.062,0.063
138,mic-1_fr_norm,900.0,0.048,0.049,0.049,0.046,0.045,0.046,0.046,0.046,0.048,0.046,0.034,0.035,0.034,0.033,0.033,0.032,0.035,0.033,0.034,0.035
139,mic-1_fr_norm,950.0,0.047,0.049,0.048,0.047,0.046,0.047,0.05,0.047,0.047,0.049,0.004,0.004,0.004,0.003,0.002,0.003,0.004,0.003,0.003,0.003
140,mic-1_fr_norm,1000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,mic-1_fr_norm,1060.0,0.058,0.054,0.055,0.058,0.055,0.056,0.057,0.058,0.055,0.056,0.03,0.027,0.027,0.027,0.027,0.027,0.03,0.028,0.028,0.029
142,mic-1_fr_norm,1120.0,0.137,0.134,0.133,0.133,0.134,0.13,0.132,0.132,0.13,0.129,0.051,0.05,0.049,0.048,0.049,0.05,0.053,0.05,0.05,0.053
143,mic-1_fr_norm,1180.0,0.171,0.167,0.164,0.167,0.167,0.163,0.164,0.166,0.164,0.163,0.059,0.055,0.054,0.054,0.053,0.054,0.056,0.057,0.053,0.057
144,mic-1_fr_norm,1250.0,0.117,0.119,0.123,0.13,0.133,0.13,0.137,0.135,0.134,0.137,0.095,0.087,0.085,0.085,0.083,0.087,0.088,0.087,0.083,0.089
145,mic-1_fr_norm,1320.0,-0.008,0.005,0.008,0.012,0.019,0.02,0.021,0.024,0.027,0.026,0.222,0.21,0.212,0.212,0.208,0.211,0.213,0.21,0.21,0.216
146,mic-1_fr_norm,1400.0,0.002,0.01,0.01,0.012,0.015,0.017,0.015,0.017,0.018,0.018,-0.134,-0.142,-0.143,-0.142,-0.148,-0.147,-0.141,-0.146,-0.148,-0.142
147,mic-1_fr_norm,1500.0,-0.12,-0.115,-0.12,-0.119,-0.12,-0.119,-0.121,-0.117,-0.119,-0.12,0.03,0.031,0.028,0.029,0.028,0.026,0.028,0.025,0.025,0.03
148,mic-1_fr_norm,1600.0,0.067,0.075,0.074,0.076,0.075,0.076,0.075,0.081,0.079,0.077,0.083,0.084,0.081,0.081,0.081,0.079,0.08,0.077,0.076,0.08
149,mic-1_fr_norm,1700.0,-0.066,-0.061,-0.058,-0.06,-0.06,-0.057,-0.058,-0.055,-0.054,-0.057,0.019,0.018,0.014,0.014,0.015,0.012,0.013,0.011,0.009,0.015
150,mic-1_fr_norm,1800.0,-0.193,-0.186,-0.188,-0.186,-0.188,-0.185,-0.187,-0.186,-0.18,-0.185,-0.151,-0.158,-0.16,-0.159,-0.16,-0.16,-0.164,-0.165,-0.165,-0.163
151,mic-1_fr_norm,1900.0,0.32,0.33,0.336,0.333,0.332,0.336,0.335,0.335,0.336,0.335,0.227,0.223,0.221,0.222,0.222,0.22,0.216,0.215,0.215,0.22
152,mic-1_fr_norm,2000.0,0.41,0.411,0.419,0.415,0.416,0.419,0.417,0.417,0.42,0.42,0.294,0.289,0.29,0.286,0.287,0.287,0.287,0.285,0.284,0.29
153,mic-1_fr_norm,2120.0,0.203,0.203,0.211,0.206,0.211,0.214,0.207,0.206,0.211,0.21,0.217,0.213,0.214,0.212,0.211,0.212,0.212,0.208,0.211,0.213
154,mic-1_fr_norm,2240.0,0.117,0.117,0.124,0.12,0.124,0.128,0.12,0.12,0.123,0.122,0.148,0.139,0.14,0.138,0.138,0.136,0.136,0.131,0.132,0.141
155,mic-1_fr_norm,2360.0,0.265,0.265,0.271,0.265,0.27,0.273,0.27,0.268,0.272,0.266,0.295,0.295,0.292,0.292,0.289,0.286,0.286,0.28,0.279,0.284
156,mic-1_fr_norm,2500.0,0.271,0.262,0.269,0.263,0.266,0.269,0.268,0.266,0.27,0.265,0.425,0.421,0.42,0.418,0.417,0.413,0.41,0.406,0.404,0.409
157,mic-1_fr_norm,2650.0,0.203,0.199,0.204,0.196,0.198,0.201,0.199,0.195,0.199,0.194,0.406,0.399,0.397,0.397,0.395,0.389,0.386,0.382,0.382,0.383
158,mic-1_fr_norm,2800.0,0.162,0.16,0.16,0.146,0.152,0.153,0.148,0.145,0.147,0.143,0.313,0.313,0.31,0.312,0.311,0.306,0.301,0.297,0.295,0.3
159,mic-1_fr_norm,3000.0,0.128,0.155,0.165,0.164,0.169,0.169,0.173,0.169,0.172,0.168,0.344,0.354,0.35,0.349,0.35,0.338,0.332,0.326,0.322,0.328
160,mic-1_fr_norm,3150.0,0.557,0.554,0.559,0.552,0.549,0.548,0.552,0.545,0.548,0.551,0.929,0.922,0.922,0.92,0.913,0.914,0.907,0.9,0.901,0.914
161,mic-1_fr_norm,3350.0,0.286,0.273,0.285,0.285,0.301,0.303,0.289,0.286,0.306,0.308,0.426,0.38,0.391,0.387,0.373,0.396,0.403,0.393,0.405,0.422
162,mic-1_fr_norm,3550.0,-0.617,-0.6,-0.599,-0.598,-0.592,-0.591,-0.576,-0.583,-0.587,-0.58,-0.057,-0.046,-0.054,-0.059,-0.067,-0.063,-0.071,-0.083,-0.081,-0.071
163,mic-1_fr_norm,3750.0,0.508,0.524,0.532,0.527,0.533,0.528,0.536,0.533,0.535,0.533,0.437,0.429,0.417,0.424,0.415,0.422,0.411,0.399,0.402,0.411
164,mic-1_fr_norm,4000.0,1.395,1.403,1.412,1.399,1.407,1.41,1.404,1.403,1.415,1.412,0.662,0.663,0.661,0.653,0.66,0.654,0.658,0.642,0.648,0.647
165,mic-1_fr_norm,4250.0,0.978,0.986,0.995,0.987,0.998,1.008,0.997,0.996,1.006,1.001,0.941,0.921,0.914,0.915,0.911,0.912,0.917,0.897,0.898,0.904
