,phase,freq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
195,mic-1_thd,100.0,3.875,3.907,3.869,3.881,3.918,3.865,3.906,3.911,3.957,3.894,2.686,2.678,2.691,2.675,2.685,2.719,2.73,2.705,2.663,2.658
196,mic-1_thd,106.0,3.155,3.173,3.138,3.147,3.174,3.128,3.169,3.177,3.201,3.165,2.101,2.083,2.085,2.064,2.079,2.095,2.104,2.11,2.06,2.051
197,mic-1_thd,112.0,2.546,2.55,2.52,2.526,2.544,2.504,2.542,2.554,2.556,2.546,1.67,1.645,1.638,1.617,1.626,1.628,1.635,1.659,1.622,1.605
198,mic-1_thd,118.0,1.998,1.993,1.958,1.97,1.978,1.949,1.977,1.993,1.977,1.985,1.328,1.315,1.298,1.288,1.284,1.274,1.276,1.291,1.301,1.275
199,mic-1_thd,125.0,1.509,1.498,1.46,1.475,1.475,1.457,1.468,1.49,1.462,1.481,1.11,1.111,1.093,1.094,1.082,1.069,1.055,1.056,1.124,1.081
200,mic-1_thd,132.0,1.174,1.162,1.128,1.147,1.135,1.127,1.132,1.144,1.125,1.14,0.944,0.949,0.935,0.949,0.933,0.922,0.906,0.886,0.97,0.927
201,mic-1_thd,140.0,0.907,0.895,0.873,0.893,0.865,0.874,0.879,0.873,0.867,0.872,0.772,0.788,0.776,0.802,0.793,0.78,0.76,0.722,0.811,0.772
202,mic-1_thd,150.0,0.703,0.694,0.687,0.7,0.666,0.684,0.693,0.674,0.681,0.676,0.613,0.629,0.626,0.65,0.653,0.643,0.621,0.582,0.643,0.618
203,mic-1_thd,160.0,0.572,0.559,0.57,0.574,0.541,0.563,0.577,0.55,0.566,0.559,0.488,0.507,0.507,0.525,0.533,0.529,0.513,0.479,0.505,0.494
204,mic-1_thd,170.0,0.47,0.454,0.473,0.474,0.452,0.464,0.477,0.459,0.474,0.472,0.401,0.414,0.422,0.425,0.433,0.438,0.427,0.41,0.406,0.405
205,mic-1_thd,180.0,0.402,0.386,0.406,0.408,0.393,0.398,0.406,0.4,0.406,0.414,0.342,0.353,0.36,0.352,0.361,0.371,0.366,0.359,0.34,0.342
206,mic-1_thd,190.0,0.354,0.344,0.352,0.361,0.35,0.352,0.351,0.356,0.355,0.366,0.301,0.306,0.309,0.299,0.309,0.321,0.319,0.316,0.292,0.295
207,mic-1_thd,200.0,0.329,0.321,0.32,0.331,0.323,0.327,0.32,0.326,0.322,0.333,0.285,0.288,0.286,0.284,0.291,0.295,0.3,0.295,0.278,0.278
208,mic-1_thd,212.0,0.295,0.285,0.281,0.29,0.285,0.29,0.279,0.285,0.284,0.291,0.261,0.263,0.258,0.266,0.266,0.262,0.271,0.265,0.259,0.255
209,mic-1_thd,224.0,0.256,0.241,0.244,0.252,0.245,0.248,0.238,0.245,0.247,0.25,0.232,0.235,0.228,0.243,0.237,0.229,0.236,0.231,0.232,0.229
210,mic-1_thd,236.0,0.219,0.198,0.21,0.221,0.205,0.21,0.199,0.209,0.212,0.216,0.198,0.203,0.197,0.209,0.204,0.198,0.197,0.194,0.198,0.201
211,mic-1_thd,250.0,0.189,0.168,0.182,0.192,0.169,0.179,0.173,0.173,0.178,0.19,0.181,0.186,0.18,0.183,0.183,0.175,0.18,0.178,0.176,0.188
212,mic-1_thd,265.0,0.166,0.155,0.165,0.169,0.154,0.156,0.159,0.153,0.153,0.172,0.177,0.171,0.164,0.166,0.168,0.156,0.176,0.172,0.164,0.17
213,mic-1_thd,280.0,0.152,0.142,0.147,0.152,0.149,0.136,0.147,0.143,0.131,0.153,0.167,0.156,0.146,0.155,0.15,0.145,0.167,0.162,0.153,0.151
214,mic-1_thd,300.0,0.133,0.11,0.108,0.13,0.122,0.111,0.127,0.117,0.109,0.12,0.148,0.14,0.134,0.143,0.134,0.139,0.145,0.145,0.137,0.14
215,mic-1_thd,315.0,0.115,0.092,0.089,0.11,0.101,0.093,0.11,0.099,0.097,0.097,0.135,0.127,0.129,0.131,0.132,0.128,0.134,0.131,0.127,0.137
216,mic-1_thd,335.0,0.088,0.079,0.08,0.087,0.08,0.074,0.088,0.092,0.083,0.084,0.112,0.102,0.103,0.105,0.113,0.1,0.121,0.11,0.112,0.115
217,mic-1_thd,355.0,0.064,0.064,0.058,0.067,0.065,0.058,0.07,0.07,0.068,0.07,0.093,0.091,0.094,0.09,0.096,0.087,0.107,0.096,0.097,0.094
218,mic-1_thd,375.0,0.053,0.044,0.044,0.043,0.043,0.046,0.052,0.044,0.048,0.051,0.078,0.081,0.091,0.088,0.077,0.085,0.08,0.087,0.081,0.085
219,mic-1_thd,400.0,0.032,0.025,0.036,0.035,0.032,0.034,0.041,0.034,0.037,0.019,0.062,0.07,0.07,0.087,0.062,0.073,0.06,0.081,0.068,0.078
220,mic-1_thd,425.0,0.043,0.04,0.053,0.03,0.047,0.048,0.048,0.044,0.044,0.037,0.062,0.07,0.05,0.065,0.066,0.07,0.068,0.077,0.069,0.07
221,mic-1_thd,450.0,0.045,0.036,0.045,0.03,0.054,0.042,0.042,0.037,0.041,0.045,0.057,0.056,0.042,0.049,0.053,0.057,0.055,0.06,0.058,0.045
222,mic-1_thd,475.0,0.036,0.043,0.039,0.024,0.045,0.04,0.04,0.027,0.031,0.043,0.039,0.033,0.045,0.041,0.041,0.043,0.04,0.05,0.056,0.043
223,mic-1_thd,500.0,0.038,0.04,0.042,0.042,0.036,0.046,0.045,0.034,0.032,0.038,0.031,0.037,0.044,0.034,0.039,0.041,0.033,0.035,0.044,0.04
224,mic-1_thd,530.0,0.039,0.05,0.05,0.046,0.037,0.055,0.048,0.051,0.046,0.045,0.038,0.055,0.044,0.04,0.043,0.041,0.038,0.033,0.044,0.044
225,mic-1_thd,560.0,0.058,0.09,0.086,0.08,0.078,0.068,0.091,0.077,0.087,0.08,0.037,0.053,0.05,0.036,0.047,0.038,0.04,0.03,0.051,0.038
226,mic-1_thd,600.0,0.094,0.106,0.106,0.107,0.098,0.099,0.108,0.104,0.101,0.105,0.036,0.049,0.038,0.044,0.039,0.042,0.037,0.032,0.037,0.033
227,mic-1_thd,630.0,0.09,0.097,0.09,0.08,0.094,0.08,0.081,0.096,0.078,0.074,0.038,0.052,0.045,0.039,0.032,0.043,0.039,0.032,0.037,0.037
228,mic-1_thd,670.0,0.063,0.067,0.06,0.065,0.056,0.059,0.06,0.054,0.058,0.042,0.042,0.036,0.031,0.038,0.03,0.041,0.038,0.023,0.031,0.025
229,mic-1_thd,710.0,0.032,0.033,0.024,0.037,0.033,0.047,0.044,0.033,0.039,0.033,0.025,0.033,0.029,0.039,0.025,0.029,0.042,0.029,0.023,0.026
230,mic-1_thd,750.0,0.051,0.037,0.039,0.04,0.036,0.035,0.038,0.037,0.045,0.034,0.041,0.038,0.04,0.031,0.034,0.039,0.033,0.028,0.04,0.031
231,mic-1_thd,800.0,0.044,0.04,0.038,0.038,0.035,0.035,0.04,0.037,0.044,0.037,0.046,0.041,0.044,0.057,0.04,0.028,0.04,0.035,0.032,0.037
232,mic-1_thd,850.0,0.04,0.038,0.051,0.046,0.036,0.048,0.032,0.04,0.036,0.045,0.038,0.042,0.039,0.041,0.026,0.029,0.03,0.041,0.042,0.035
233,mic-1_thd,900.0,0.044,0.037,0.039,0.044,0.034,0.03,0.042,0.039,0.038,0.042,0.038,0.035,0.045,0.027,0.041,0.027,0.027,0.039,0.031,0.041
234,mic-1_thd,950.0,0.045,0.039,0.052,0.049,0.045,0.039,0.044,0.039,0.04,0.045,0.04,0.039,0.036,0.041,0.042,0.032,0.031,0.035,0.036,0.033
235,mic-1_thd,1000.0,0.06,0.04,0.032,0.05,0.045,0.044,0.059,0.057,0.037,0.058,0.035,0.032,0.053,0.026,0.044,0.045,0.04,0.044,0.029,0.047
236,mic-1_thd,1060.0,0.056,0.065,0.054,0.062,0.05,0.06,0.062,0.062,0.063,0.061,0.048,0.043,0.046,0.045,0.04,0.059,0.041,0.038,0.06,0.054
237,mic-1_thd,1120.0,0.047,0.051,0.049,0.052,0.053,0.044,0.056,0.055,0.053,0.047,0.051,0.036,0.045,0.046,0.039,0.045,0.041,0.047,0.044,0.041
238,mic-1_thd,1180.0,0.051,0.05,0.041,0.064,0.065,0.058,0.049,0.046,0.053,0.038,0.043,0.051,0.047,0.04,0.054,0.045,0.061,0.04,0.039,0.043
239,mic-1_thd,1250.0,0.048,0.058,0.064,0.055,0.07,0.05,0.09,0.073,0.064,0.064,0.043,0.055,0.043,0.039,0.053,0.043,0.045,0.039,0.05,0.048
240,mic-1_thd,1320.0,0.07,0.088,0.078,0.08,0.071,0.07,0.078,0.064,0.066,0.078,0.048,0.061,0.044,0.074,0.051,0.055,0.053,0.06,0.075,0.058
241,mic-1_thd,1400.0,0.046,0.06,0.055,0.039,0.069,0.055,0.057,0.06,0.048,0.057,0.043,0.043,0.054,0.064,0.055,0.055,0.071,0.071,0.077,0.072
242,mic-1_thd,1500.0,0.077,0.086,0.07,0.069,0.064,0.055,0.085,0.064,0.061,0.077,0.068,0.06,0.073,0.056,0.068,0.052,0.064,0.063,0.063,0.095
