,0,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465
phase,dut_id,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr,mic-2_fr
freq,,100.0,106.0,112.0,118.0,125.0,132.0,140.0,150.0,160.0,170.0,180.0,190.0,200.0,212.0,224.0,236.0,250.0,265.0,280.0,300.0,315.0,335.0,355.0,375.0,400.0,425.0,450.0,475.0,500.0,530.0,560.0,600.0,630.0,670.0,710.0,750.0,800.0,850.0,900.0,950.0,1000.0,1060.0,1120.0,1180.0,1250.0,1320.0,1400.0,1500.0,1600.0,1700.0,1800.0,1900.0,2000.0,2120.0,2240.0,2360.0,2500.0,2650.0,2800.0,3000.0,3150.0,3350.0,3550.0,3750.0,4000.0,4250.0,4500.0,4750.0,5000.0,5300.0,5600.0,6000.0,6300.0,6700.0,7100.0,7500.0,8000.0,8500.0,9000.0,9500.0,10000.0,10600.0,11200.0,11800.0,12500.0,13200.0,14000.0,15000.0,16000.0,17000.0,18000.0,19000.0,20000.0,21200.0,22400.0
0,5B031FDDX00004,-37.65599999999999,-37.173,-37.64199999999999,-37.937,-38.161,-38.279,-38.23899999999999,-38.235000000000014,-38.20200000000001,-38.132000000000005,-38.082000000000015,-38.063,-38.01800000000001,-37.977999999999994,-37.909,-37.897000000000006,-37.865999999999985,-37.802,-37.744,-37.73699999999999,-37.586999999999996,-37.615,-37.66,-37.63699999999999,-37.645,-37.610000000000014,-37.606,-37.581999999999994,-37.53800000000001,-37.52800000000001,-37.529999999999994,-37.49799999999999,-37.511,-37.468,-37.45500000000001,-37.448,-37.483000000000004,-37.535000000000004,-37.532,-37.49399999999999,-37.39299999999999,-37.23500000000001,-37.23799999999999,-37.24099999999999,-37.265,-37.385999999999996,-37.61599999999999,-37.38300000000002,-36.95600000000002,-36.803000000000004,-36.988000000000014,-36.69900000000001,-36.305000000000014,-37.339,-35.69399999999999,-36.575,-36.638999999999996,-36.38399999999999,-36.244,-36.486000000000004,-36.03900000000001,-35.93499999999999,-35.96700000000001,-35.437999999999995,-35.25599999999999,-34.546000000000014,-35.03899999999999,-33.81199999999999,-33.983,-33.38400000000001,-33.330999999999996,-32.374,-31.830999999999992,-31.223999999999997,-30.827999999999996,-28.984999999999992,-29.045,-27.543,-27.767999999999994,-28.04500000000001,-28.20000000000001,-29.039000000000012,-29.804999999999996,-29.809000000000008,-32.35599999999999,-29.74799999999999,-33.43699999999999,-34.208,-32.97199999999999,-35.05799999999999,-36.813999999999986,-34.943,-35.13799999999999,-33.870000000000005,-36.516000000000005
1,5B031FDDX00004,-37.64099999999999,-37.159,-37.62999999999999,-37.925,-38.148,-38.265,-38.221,-38.21400000000001,-38.18000000000001,-38.11,-38.06300000000002,-38.047000000000004,-38.004000000000005,-37.96399999999999,-37.896,-37.88100000000001,-37.84899999999999,-37.785,-37.729,-37.72399999999999,-37.574999999999996,-37.605000000000004,-37.64999999999999,-37.629,-37.637,-37.600000000000016,-37.591,-37.565999999999995,-37.51500000000001,-37.49800000000001,-37.504999999999995,-37.481999999999985,-37.501,-37.467000000000006,-37.47700000000001,-37.481,-37.50300000000001,-37.54800000000001,-37.535,-37.501,-37.40899999999999,-37.25000000000001,-37.24899999999999,-37.25099999999999,-37.27,-37.384,-37.59799999999999,-37.353000000000016,-36.95300000000002,-36.803000000000004,-36.96900000000001,-36.69700000000001,-36.326000000000015,-37.315,-35.67399999999999,-36.587,-36.644999999999996,-36.379999999999995,-36.263,-36.475,-36.03000000000001,-35.893999999999984,-35.93400000000001,-35.437,-35.239,-34.521000000000015,-34.975999999999985,-33.77999999999999,-33.949999999999996,-33.39000000000001,-33.318999999999996,-32.371,-31.83599999999999,-31.217,-30.792999999999996,-28.95899999999999,-29.028,-27.557000000000002,-27.751999999999992,-27.957000000000008,-28.18000000000001,-29.035000000000014,-29.813999999999997,-29.75400000000001,-32.33699999999998,-29.76199999999999,-33.410999999999994,-34.16499999999999,-32.85699999999999,-35.044,-36.786999999999985,-34.929,-35.093999999999994,-33.92100000000001,-36.649
2,5B031FDDX00004,-37.635999999999996,-37.148,-37.61199999999999,-37.903999999999996,-38.125,-38.242000000000004,-38.202999999999996,-38.201000000000015,-38.17200000000001,-38.106,-38.05900000000001,-38.043000000000006,-38.00000000000001,-37.96099999999999,-37.894,-37.882000000000005,-37.85199999999999,-37.79,-37.734,-37.72999999999999,-37.580999999999996,-37.612,-37.657999999999994,-37.63399999999999,-37.638000000000005,-37.59900000000001,-37.591,-37.568,-37.52200000000001,-37.50500000000001,-37.504999999999995,-37.478999999999985,-37.499,-37.465,-37.47700000000001,-37.485,-37.505,-37.553000000000004,-37.53999999999999,-37.49999999999999,-37.40999999999999,-37.251000000000005,-37.25199999999999,-37.25099999999999,-37.275,-37.388999999999996,-37.590999999999994,-37.34800000000001,-36.95300000000002,-36.804,-36.96700000000001,-36.69900000000001,-36.33000000000001,-37.315999999999995,-35.66899999999999,-36.599,-36.649,-36.385999999999996,-36.259,-36.480000000000004,-36.03200000000001,-35.889999999999986,-35.94800000000001,-35.437,-35.23499999999999,-34.53100000000001,-34.97399999999999,-33.76399999999999,-33.915,-33.39600000000001,-33.279999999999994,-32.354,-31.87099999999999,-31.197,-30.790999999999993,-28.97699999999999,-29.048000000000002,-27.579,-27.71099999999999,-27.86800000000001,-28.12400000000001,-28.98000000000001,-29.862999999999996,-29.745000000000008,-32.37699999999998,-29.72499999999999,-33.26299999999999,-34.10799999999999,-32.84599999999999,-34.913,-36.45499999999999,-34.761,-35.02599999999999,-34.175,-37.16
3,5B031FDDX00004,-37.63099999999999,-37.153,-37.62699999999999,-37.922999999999995,-38.147,-38.266000000000005,-38.224999999999994,-38.222000000000016,-38.18900000000001,-38.120000000000005,-38.070000000000014,-38.05100000000001,-38.005,-37.965999999999994,-37.899,-37.889,-37.85999999999999,-37.799,-37.743,-37.73799999999999,-37.587999999999994,-37.617000000000004,-37.663999999999994,-37.642999999999994,-37.649,-37.61100000000001,-37.606,-37.583999999999996,-37.53700000000001,-37.521000000000015,-37.528999999999996,-37.50699999999999,-37.524,-37.482000000000006,-37.48800000000001,-37.492,-37.51200000000001,-37.55800000000001,-37.547999999999995,-37.51,-37.41999999999999,-37.262,-37.252999999999986,-37.248999999999995,-37.268,-37.388999999999996,-37.60899999999999,-37.37300000000001,-36.96400000000001,-36.812,-36.97600000000001,-36.70600000000001,-36.32100000000001,-37.330999999999996,-35.71099999999999,-36.587,-36.655,-36.391999999999996,-36.259,-36.50600000000001,-36.040000000000006,-35.899999999999984,-35.95900000000001,-35.422999999999995,-35.23799999999999,-34.545000000000016,-35.01999999999998,-33.78599999999999,-33.936,-33.40200000000001,-33.309999999999995,-32.356,-31.862999999999992,-31.205,-30.797999999999995,-29.02899999999999,-29.067,-27.585,-27.731999999999992,-27.941000000000006,-28.17900000000001,-28.99800000000001,-29.865,-29.74900000000001,-32.35799999999998,-29.760999999999992,-33.29299999999999,-34.089999999999996,-32.947999999999986,-34.89999999999999,-36.51699999999999,-34.849000000000004,-35.03499999999999,-34.021,-36.658
4,5B031FDDX00004,-37.64999999999999,-37.161,-37.624999999999986,-37.917,-38.136,-38.253,-38.211999999999996,-38.20800000000001,-38.17500000000001,-38.103,-38.052000000000014,-38.032000000000004,-37.986000000000004,-37.94799999999999,-37.883,-37.874,-37.84899999999999,-37.789,-37.734,-37.72899999999999,-37.579,-37.609,-37.654999999999994,-37.632999999999996,-37.637,-37.59800000000001,-37.593,-37.56999999999999,-37.52300000000001,-37.509000000000015,-37.516999999999996,-37.49599999999999,-37.513999999999996,-37.47500000000001,-37.47900000000001,-37.479,-37.498000000000005,-37.537000000000006,-37.522999999999996,-37.48199999999999,-37.38899999999999,-37.232000000000006,-37.22399999999999,-37.214999999999996,-37.235,-37.378,-37.60399999999999,-37.356000000000016,-36.94300000000001,-36.786,-36.95400000000001,-36.692000000000014,-36.33400000000001,-37.31399999999999,-35.675999999999995,-36.599,-36.652,-36.37899999999999,-36.25,-36.482000000000006,-35.99800000000001,-35.87099999999999,-35.94200000000001,-35.401999999999994,-35.215999999999994,-34.509000000000015,-34.950999999999986,-33.74499999999998,-33.882999999999996,-33.37700000000001,-33.254999999999995,-32.322,-31.824999999999992,-31.160999999999998,-30.722999999999995,-28.889999999999993,-28.959,-27.512999999999998,-27.606999999999992,-27.78300000000001,-28.062000000000012,-28.904000000000014,-29.872999999999998,-29.72500000000001,-32.31299999999998,-29.71499999999999,-33.239999999999995,-34.10799999999999,-32.76299999999999,-34.795,-36.298999999999985,-34.78,-35.367999999999995,-34.623000000000005,-37.562
5,5B031FDDX00004,-37.64699999999999,-37.161,-37.627999999999986,-37.921,-38.143,-38.260000000000005,-38.21699999999999,-38.20900000000002,-38.17200000000001,-38.099000000000004,-38.05000000000001,-38.03300000000001,-37.992000000000004,-37.956999999999994,-37.892,-37.882000000000005,-37.85399999999999,-37.791,-37.733,-37.72799999999999,-37.58,-37.61,-37.65599999999999,-37.632999999999996,-37.638000000000005,-37.60100000000001,-37.595000000000006,-37.571999999999996,-37.52400000000001,-37.509000000000015,-37.513999999999996,-37.48899999999999,-37.508,-37.473000000000006,-37.47900000000001,-37.484,-37.508,-37.54900000000001,-37.53699999999999,-37.49999999999999,-37.41299999999999,-37.257000000000005,-37.25199999999999,-37.245999999999995,-37.26,-37.379999999999995,-37.60799999999999,-37.37000000000001,-36.96100000000001,-36.811,-36.96700000000001,-36.69700000000001,-36.314000000000014,-37.318,-35.70199999999999,-36.572,-36.638,-36.376,-36.242,-36.493,-36.031000000000006,-35.887999999999984,-35.94900000000001,-35.428,-35.245,-34.551000000000016,-35.02799999999999,-33.786999999999985,-33.952,-33.40500000000001,-33.321,-32.38,-31.86799999999999,-31.212,-30.821999999999996,-29.00699999999999,-29.07,-27.575000000000003,-27.738999999999994,-27.954000000000008,-28.17000000000001,-28.98900000000001,-29.842,-29.736000000000008,-32.39799999999998,-29.71699999999999,-33.34499999999999,-34.096,-32.862999999999985,-34.90899999999999,-36.77899999999999,-34.765,-34.849999999999994,-33.69199999999999,-36.620999999999995
6,5B031FDDX00004,-38.479,-38.13199999999999,-37.894,-37.84199999999999,-37.91499999999999,-37.99699999999998,-38.05200000000001,-38.105999999999995,-38.081,-38.05799999999999,-38.07000000000001,-38.03300000000001,-37.94500000000001,-37.929,-37.878000000000014,-37.836,-37.849,-37.81099999999999,-37.74599999999999,-37.742999999999995,-37.71900000000001,-37.63499999999999,-37.629999999999995,-37.57099999999999,-37.609000000000016,-37.581999999999994,-37.566999999999986,-37.527,-37.49999999999999,-37.519,-37.51,-37.493,-37.495,-37.479000000000006,-37.464,-37.47500000000001,-37.481999999999985,-37.506000000000014,-37.462999999999994,-37.428999999999995,-37.39800000000001,-37.33000000000001,-37.318000000000005,-37.28399999999999,-37.361999999999995,-37.22699999999999,-37.403,-37.223,-36.966999999999985,-36.84000000000001,-37.11300000000001,-36.803999999999995,-36.404,-37.292,-36.022999999999996,-36.585,-36.604,-36.437,-36.50999999999999,-36.171000000000014,-36.13700000000001,-35.88399999999999,-36.30099999999999,-35.70700000000001,-35.53500000000001,-34.73599999999999,-35.364,-33.787,-34.39600000000001,-33.540000000000006,-33.684999999999995,-32.87199999999999,-32.196,-31.874999999999993,-31.177,-29.90299999999999,-29.556999999999995,-28.924000000000007,-29.34499999999999,-28.262999999999995,-29.31500000000002,-30.107000000000006,-30.823000000000004,-30.754999999999978,-33.465,-33.479000000000006,-33.699000000000005,-36.821,-33.778,-38.41899999999998,-37.01199999999999,-38.09700000000001,-36.964000000000006,-37.63600000000002,-38.675999999999995
