,phase,freq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
737,mic-3_fr,100.0,-37.967,-37.928,-37.945,-37.932,-37.935,-37.928,-37.931,-37.917,-37.939,-37.922,-38.417,-38.387,-38.416,-38.402,-38.4,-38.391,-38.41,-38.406,-38.388,-38.371
738,mic-3_fr,106.0,-37.766,-37.726,-37.742,-37.726,-37.731,-37.724,-37.729,-37.713,-37.738,-37.719,-38.331,-38.301,-38.328,-38.313,-38.314,-38.3,-38.313,-38.313,-38.297,-38.283
739,mic-3_fr,112.0,-37.604,-37.562,-37.578,-37.56,-37.566,-37.559,-37.565,-37.548,-37.575,-37.555,-38.252,-38.223,-38.246,-38.232,-38.234,-38.217,-38.224,-38.228,-38.213,-38.202
740,mic-3_fr,118.0,-37.545,-37.506,-37.519,-37.501,-37.507,-37.499,-37.505,-37.49,-37.519,-37.495,-38.189,-38.163,-38.183,-38.171,-38.172,-38.155,-38.157,-38.163,-38.149,-38.141
741,mic-3_fr,125.0,-37.476,-37.441,-37.452,-37.433,-37.437,-37.431,-37.436,-37.422,-37.454,-37.426,-38.116,-38.094,-38.111,-38.099,-38.1,-38.083,-38.08,-38.089,-38.075,-38.07
742,mic-3_fr,132.0,-37.461,-37.431,-37.438,-37.42,-37.422,-37.417,-37.421,-37.409,-37.442,-37.411,-38.071,-38.052,-38.066,-38.056,-38.057,-38.041,-38.034,-38.043,-38.03,-38.027
743,mic-3_fr,140.0,-37.521,-37.499,-37.5,-37.487,-37.485,-37.48,-37.483,-37.472,-37.507,-37.472,-38.06,-38.043,-38.057,-38.047,-38.047,-38.035,-38.026,-38.034,-38.021,-38.019
744,mic-3_fr,150.0,-37.582,-37.57,-37.563,-37.557,-37.549,-37.545,-37.546,-37.538,-37.572,-37.536,-38.051,-38.036,-38.05,-38.04,-38.039,-38.032,-38.021,-38.028,-38.014,-38.014
745,mic-3_fr,160.0,-37.602,-37.599,-37.584,-37.585,-37.574,-37.57,-37.571,-37.562,-37.593,-37.562,-38.055,-38.041,-38.055,-38.045,-38.042,-38.041,-38.031,-38.034,-38.023,-38.024
746,mic-3_fr,170.0,-37.605,-37.607,-37.587,-37.594,-37.579,-37.577,-37.577,-37.568,-37.596,-37.572,-38.061,-38.049,-38.062,-38.052,-38.049,-38.05,-38.042,-38.041,-38.035,-38.036
747,mic-3_fr,180.0,-37.585,-37.588,-37.567,-37.576,-37.56,-37.56,-37.56,-37.549,-37.573,-37.559,-38.07,-38.06,-38.072,-38.061,-38.059,-38.06,-38.055,-38.05,-38.05,-38.052
748,mic-3_fr,190.0,-37.565,-37.566,-37.55,-37.557,-37.542,-37.545,-37.543,-37.532,-37.553,-37.546,-38.074,-38.066,-38.075,-38.065,-38.064,-38.065,-38.06,-38.052,-38.058,-38.059
749,mic-3_fr,200.0,-37.547,-37.544,-37.534,-37.539,-37.526,-37.531,-37.526,-37.517,-37.534,-37.532,-38.075,-38.067,-38.074,-38.066,-38.065,-38.065,-38.06,-38.05,-38.061,-38.06
750,mic-3_fr,212.0,-37.54,-37.533,-37.529,-37.532,-37.523,-37.526,-37.52,-37.513,-37.526,-37.527,-38.055,-38.045,-38.052,-38.044,-38.044,-38.044,-38.037,-38.027,-38.04,-38.038
751,mic-3_fr,224.0,-37.539,-37.53,-37.53,-37.532,-37.525,-37.527,-37.518,-37.514,-37.522,-37.525,-38.029,-38.015,-38.023,-38.017,-38.016,-38.015,-38.008,-37.999,-38.013,-38.008
752,mic-3_fr,236.0,-37.543,-37.534,-37.532,-37.535,-37.531,-37.529,-37.519,-37.517,-37.521,-37.525,-38.002,-37.982,-37.993,-37.987,-37.987,-37.983,-37.977,-37.971,-37.982,-37.978
753,mic-3_fr,250.0,-37.535,-37.525,-37.522,-37.525,-37.521,-37.519,-37.507,-37.508,-37.509,-37.513,-37.987,-37.964,-37.977,-37.973,-37.971,-37.966,-37.962,-37.958,-37.966,-37.962
754,mic-3_fr,265.0,-37.52,-37.51,-37.504,-37.506,-37.503,-37.502,-37.49,-37.492,-37.492,-37.494,-37.991,-37.97,-37.981,-37.978,-37.976,-37.972,-37.968,-37.966,-37.97,-37.968
755,mic-3_fr,280.0,-37.506,-37.495,-37.489,-37.49,-37.488,-37.487,-37.478,-37.48,-37.479,-37.478,-38.011,-37.996,-38.004,-38.001,-37.999,-37.998,-37.994,-37.993,-37.994,-37.993
756,mic-3_fr,300.0,-37.507,-37.496,-37.492,-37.492,-37.493,-37.489,-37.484,-37.484,-37.485,-37.48,-38.035,-38.023,-38.031,-38.028,-38.025,-38.028,-38.023,-38.022,-38.021,-38.021
757,mic-3_fr,315.0,-37.511,-37.503,-37.498,-37.499,-37.5,-37.496,-37.494,-37.491,-37.494,-37.488,-38.027,-38.014,-38.024,-38.022,-38.018,-38.022,-38.017,-38.016,-38.016,-38.015
758,mic-3_fr,335.0,-37.498,-37.492,-37.487,-37.489,-37.49,-37.488,-37.485,-37.48,-37.486,-37.48,-37.994,-37.98,-37.988,-37.989,-37.983,-37.987,-37.984,-37.981,-37.983,-37.98
