,0,1280,1281,1282,1283,1284,1285,1286,1287,1288,1289,1290,1291,1292,1293,1294,1295,1296,1297,1298,1299,1300,1301,1302,1303,1304,1305,1306,1307,1308,1309,1310,1311,1312,1313,1314,1315,1316,1317,1318,1319,1320,1321,1322,1323,1324,1325,1326,1327,1328,1329,1330,1331,1332
phase,dut_id,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb,spk-1_rb
freq,,100.0,106.0,112.0,118.0,125.0,132.0,140.0,150.0,160.0,170.0,180.0,190.0,200.0,212.0,224.0,236.0,250.0,265.0,280.0,300.0,315.0,335.0,355.0,375.0,400.0,425.0,450.0,475.0,500.0,530.0,560.0,600.0,630.0,670.0,710.0,750.0,800.0,850.0,900.0,950.0,1000.0,1060.0,1120.0,1180.0,1250.0,1320.0,1400.0,1500.0,1600.0,1700.0,1800.0,1900.0,2000.0
0,5B031FDDX00004,1.714,1.464,1.024,0.836,0.717,0.491,0.422,0.512,0.411,0.549,0.366,0.567,0.539,0.648,0.837,0.752,0.8,1.142,1.88,1.244,1.287,1.299,1.323,1.042,1.312,1.156,0.871,0.583,0.441,0.662,0.863,0.509,0.57,0.576,0.573,0.564,0.682,0.547,0.466,0.367,0.331,0.515,0.573,0.603,0.444,0.357,0.346,0.18,0.234,0.154,0.108,0.053,0.044
1,5B031FDDX00004,1.645,1.403,0.969,0.737,0.501,0.614,0.559,0.469,0.39,0.483,0.465,0.53,0.591,0.625,0.691,0.806,0.828,0.981,1.462,1.083,1.052,1.331,1.325,1.306,0.886,0.685,0.702,0.543,0.518,0.474,0.66,0.455,0.534,0.66,0.557,0.793,0.492,0.401,0.381,0.312,0.448,0.574,0.512,0.632,0.491,0.309,0.26,0.215,0.363,0.127,0.068,0.062,0.038
2,5B031FDDX00004,1.679,1.358,0.948,0.9,0.479,0.556,0.427,0.394,0.496,0.486,0.489,0.506,0.527,0.557,0.541,0.846,1.8,1.337,1.009,1.457,1.185,1.838,0.923,1.732,0.982,1.191,0.654,0.709,0.753,0.636,0.523,0.546,0.56,0.566,0.492,0.617,0.726,0.505,0.438,0.405,0.448,0.571,0.457,0.419,0.589,0.362,0.363,0.213,0.217,0.097,0.082,0.065,0.038
3,5B031FDDX00004,1.784,1.229,0.996,0.617,0.518,0.53,0.538,0.379,0.496,0.562,0.409,0.553,0.395,0.506,0.729,0.587,1.787,0.896,1.109,1.378,1.306,1.346,1.01,1.572,1.098,0.937,0.716,0.763,0.791,0.566,0.655,0.643,0.571,0.537,0.464,0.823,0.576,0.462,0.463,0.296,0.418,0.501,0.428,0.442,0.406,0.343,0.299,0.246,0.229,0.152,0.08,0.066,0.027
4,5B031FDDX00004,1.707,1.277,0.995,0.684,0.785,0.601,0.472,0.37,0.47,0.377,0.472,0.558,0.937,0.619,0.735,0.611,1.248,1.349,1.214,1.636,1.675,1.651,1.77,0.987,1.341,0.692,0.884,0.744,0.502,0.469,0.535,0.668,0.634,0.443,0.565,0.713,0.558,0.585,0.376,0.248,0.393,0.46,0.628,0.464,0.475,0.391,0.229,0.18,0.3,0.096,0.103,0.077,0.044
5,5B031FDDX00004,1.849,1.314,0.942,0.692,0.523,0.589,0.466,0.503,0.396,0.426,0.543,0.587,0.565,0.668,1.111,0.801,0.751,1.388,1.512,1.543,1.467,1.715,1.783,1.499,1.308,0.733,0.815,0.935,0.514,0.614,0.541,0.569,0.557,0.64,0.486,0.572,0.525,0.34,0.371,0.222,0.403,0.488,0.588,0.441,0.453,0.372,0.257,0.298,0.278,0.154,0.091,0.052,0.043
6,5B031FDDX00004,1.801,1.474,0.924,0.692,0.711,0.567,0.471,0.337,0.51,0.457,0.525,0.443,0.547,0.725,0.973,0.814,1.128,1.317,1.428,1.333,1.533,1.781,1.318,1.023,1.254,0.776,0.947,0.747,0.757,0.912,0.536,0.567,0.574,0.647,0.685,0.629,0.679,0.518,0.342,0.371,0.401,0.69,0.457,0.686,0.571,0.401,0.471,0.298,0.304,0.155,0.098,0.068,0.043
7,5B031FDDX00004,1.727,1.137,0.82,0.798,0.538,0.484,0.499,0.437,0.468,0.46,0.586,0.49,0.547,0.781,0.562,0.708,0.998,1.204,1.432,1.206,1.27,1.458,1.428,0.925,1.397,0.943,0.644,0.968,0.526,0.675,0.64,0.638,0.718,0.574,0.522,0.934,0.655,0.542,0.561,0.365,0.352,0.394,0.387,0.506,0.8,0.372,0.28,0.163,0.183,0.164,0.129,0.069,0.043
