,0,1333,1334,1335,1336,1337,1338,1339,1340,1341,1342,1343,1344,1345,1346,1347,1348,1349,1350,1351,1352,1353,1354,1355,1356,1357,1358,1359,1360,1361,1362,1363,1364,1365,1366,1367,1368,1369,1370,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380,1381,1382,1383,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420,1421,1422,1423,1424,1425,1426,1427,1428
phase,dut_id,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr,spk-2_fr
freq,,100.0,106.0,112.0,118.0,125.0,132.0,140.0,150.0,160.0,170.0,180.0,190.0,200.0,212.0,224.0,236.0,250.0,265.0,280.0,300.0,315.0,335.0,355.0,375.0,400.0,425.0,450.0,475.0,500.0,530.0,560.0,600.0,630.0,670.0,710.0,750.0,800.0,850.0,900.0,950.0,1000.0,1060.0,1120.0,1180.0,1250.0,1320.0,1400.0,1500.0,1600.0,1700.0,1800.0,1900.0,2000.0,2120.0,2240.0,2360.0,2500.0,2650.0,2800.0,3000.0,3150.0,3350.0,3550.0,3750.0,4000.0,4250.0,4500.0,4750.0,5000.0,5300.0,5600.0,6000.0,6300.0,6700.0,7100.0,7500.0,8000.0,8500.0,9000.0,9500.0,10000.0,10600.0,11200.0,11800.0,12500.0,13200.0,14000.0,15000.0,16000.0,17000.0,18000.0,19000.0,20000.0,21200.0,22400.0,23600.0
0,5B031FDDX00004,77.702,79.096,80.092,81.122,82.153,83.325,84.336,85.61,86.896,87.993,89.059,90.107,91.149,92.187,93.286,94.165,95.273,96.346,97.403,98.792,99.708,100.862,101.828,102.805,103.765,104.77,105.791,106.786,107.611,108.587,109.334,110.41,111.064,111.649,112.071,112.559,113.086,113.425,113.677,113.869,113.96,113.966,113.848,113.572,113.113,112.736,112.507,112.493,112.525,112.489,112.559,112.678,112.865,112.867,112.928,113.378,114.132,114.926,115.89,117.55,118.959,118.788,119.543,120.353,120.232,120.847,120.892,122.411,122.721,120.058,117.292,114.421,113.565,112.533,111.21,111.259,110.201,108.123,107.314,105.898,105.613,105.721,104.058,105.018,99.115,98.62,102.711,107.439,105.803,102.053,102.853,99.673,102.79,105.714,102.149,99.858
1,5B031FDDX00004,78.15,79.044,80.219,81.076,82.294,83.342,84.331,85.372,86.968,88.015,89.178,90.119,91.062,92.231,93.256,94.193,95.249,96.488,97.426,98.692,99.622,100.84,101.893,102.869,103.839,104.759,105.861,106.78,107.652,108.542,109.367,110.45,111.065,111.637,112.066,112.583,113.076,113.422,113.676,113.854,113.947,113.952,113.83,113.552,113.106,112.743,112.51,112.497,112.536,112.508,112.593,112.711,112.911,112.874,112.931,113.373,114.128,114.933,115.879,117.531,118.963,118.791,119.532,120.365,120.248,120.853,120.928,122.418,122.726,120.037,117.194,114.317,113.514,112.546,111.213,111.241,110.194,108.096,107.316,105.846,105.558,105.672,104.027,105.004,99.188,98.67,102.671,107.393,105.847,102.069,102.899,99.643,102.752,105.71,102.094,103.299
2,5B031FDDX00004,77.911,79.142,80.111,81.16,82.345,83.328,84.294,85.529,86.677,87.924,88.992,89.931,91.038,92.101,93.147,94.18,95.437,96.548,97.378,98.707,99.579,100.913,101.808,102.814,103.784,104.741,105.772,106.74,107.661,108.607,109.382,110.418,111.077,111.623,112.047,112.54,113.059,113.401,113.649,113.83,113.937,113.939,113.817,113.536,113.101,112.737,112.513,112.472,112.521,112.504,112.589,112.716,112.919,112.864,112.918,113.356,114.125,114.927,115.863,117.503,118.938,118.782,119.516,120.352,120.207,120.805,120.908,122.394,122.74,120.057,117.139,114.255,113.549,112.558,111.23,111.229,110.187,108.075,107.293,105.828,105.605,105.655,104.001,104.976,99.143,98.629,102.719,107.512,106.05,102.141,102.891,99.644,102.594,105.451,101.962,99.557
3,5B031FDDX00004,77.938,79.001,80.187,81.058,82.184,83.147,84.35,85.667,86.897,88.051,89.147,90.076,91.116,92.173,93.281,94.168,95.442,96.43,97.472,98.878,99.696,100.859,101.795,102.836,103.816,104.782,105.811,106.791,107.663,108.542,109.362,110.426,111.091,111.657,112.052,112.569,113.085,113.426,113.683,113.858,113.953,113.954,113.835,113.559,113.109,112.741,112.506,112.476,112.505,112.465,112.528,112.651,112.849,112.871,112.918,113.364,114.11,114.909,115.876,117.521,118.938,118.781,119.53,120.347,120.207,120.809,120.882,122.378,122.717,120.059,117.213,114.374,113.584,112.536,111.207,111.215,110.193,108.105,107.256,105.865,105.629,105.694,104.011,104.975,99.156,98.558,102.674,107.464,105.973,102.119,102.889,99.743,102.694,105.459,101.891,100.224
4,5B031FDDX00004,77.967,79.142,80.175,81.303,82.385,83.273,84.325,85.636,86.905,88.23,89.161,90.127,91.041,92.085,93.145,94.124,95.397,96.376,97.491,98.83,99.671,100.851,101.89,102.797,103.802,104.7,105.852,106.771,107.686,108.567,109.372,110.458,111.085,111.65,112.071,112.554,113.08,113.406,113.668,113.844,113.941,113.933,113.81,113.54,113.101,112.752,112.516,112.473,112.526,112.51,112.575,112.693,112.91,112.865,112.914,113.347,114.11,114.921,115.862,117.504,118.937,118.785,119.523,120.36,120.209,120.822,120.906,122.38,122.742,120.055,117.145,114.26,113.536,112.554,111.192,111.212,110.203,108.11,107.271,105.797,105.548,105.655,103.999,104.987,99.282,98.596,102.62,107.368,105.952,102.224,102.955,99.671,102.762,105.5,101.899,102.059
5,5B031FDDX00004,77.947,79.001,80.144,81.135,82.3,83.28,84.34,85.724,86.828,88.218,89.105,90.142,91.153,92.092,93.374,94.172,95.327,96.448,97.538,98.843,99.627,100.793,101.925,102.83,103.814,104.688,105.756,106.746,107.673,108.551,109.369,110.437,111.091,111.652,112.059,112.56,113.085,113.439,113.677,113.857,113.948,113.951,113.828,113.554,113.101,112.72,112.491,112.467,112.495,112.458,112.514,112.633,112.829,112.849,112.903,113.35,114.096,114.89,115.864,117.506,118.926,118.77,119.518,120.349,120.199,120.797,120.863,122.355,122.707,120.045,117.214,114.371,113.559,112.529,111.197,111.205,110.192,108.085,107.234,105.833,105.58,105.691,103.972,104.951,99.235,98.525,102.599,107.475,105.943,102.154,102.92,99.652,102.74,105.499,101.884,103.077
6,5B031FDDX00004,77.678,78.83,79.973,80.782,81.867,82.847,83.987,85.25,86.648,87.825,88.715,89.821,90.79,92.053,93.023,93.933,95.122,96.213,97.2,98.672,99.588,100.797,101.677,102.695,103.672,104.617,105.713,106.65,107.56,108.435,109.282,110.283,110.924,111.608,111.99,112.407,112.933,113.274,113.555,113.745,113.878,113.921,113.804,113.54,113.143,112.708,112.474,112.481,112.67,112.654,112.577,112.738,112.908,112.983,113.083,113.424,114.075,114.97,116.128,118.006,119.38,118.732,119.395,120.035,119.858,120.05,121.267,122.739,123.086,120.704,117.412,114.4,113.743,112.226,110.818,110.71,110.491,108.432,107.231,105.947,105.799,105.272,104.801,105.514,99.604,99.409,102.688,106.744,106.124,101.72,102.237,97.648,101.622,105.499,102.203,100.9
7,5B031FDDX00004,77.645,78.649,79.854,80.809,81.952,82.989,84.104,85.292,86.589,87.826,88.968,90.033,90.806,91.874,92.888,93.972,95.091,96.221,97.284,98.583,99.52,100.701,101.62,102.673,103.699,104.668,105.682,106.652,107.572,108.505,109.294,110.296,110.938,111.619,111.98,112.419,112.929,113.288,113.585,113.784,113.921,114.001,113.914,113.665,113.214,112.748,112.516,112.539,112.692,112.655,112.6,112.723,112.846,112.94,113.07,113.435,114.06,114.944,116.152,118.018,119.37,118.742,119.408,120.017,119.834,120.048,121.303,122.771,123.139,120.809,117.515,114.39,113.729,112.231,110.835,110.722,110.511,108.43,107.295,105.964,105.77,105.244,104.786,105.556,99.585,99.532,102.794,106.567,106.019,101.63,102.219,97.659,101.729,105.583,102.313,102.222
8,5B031FDDX00004,77.546,78.713,79.928,80.779,81.821,82.868,83.934,85.223,86.533,87.856,88.82,89.786,90.705,91.995,92.935,93.71,95.097,96.222,97.297,98.619,99.541,100.75,101.691,102.648,103.582,104.567,105.69,106.584,107.512,108.439,109.281,110.293,110.931,111.613,111.997,112.413,112.933,113.292,113.557,113.757,113.873,113.928,113.804,113.541,113.139,112.698,112.431,112.452,112.654,112.641,112.569,112.727,112.898,112.965,113.069,113.41,114.06,114.961,116.119,117.998,119.38,118.739,119.393,120.034,119.859,120.044,121.26,122.726,123.066,120.686,117.383,114.389,113.718,112.199,110.8,110.683,110.473,108.41,107.192,105.933,105.764,105.262,104.76,105.478,99.665,99.331,102.569,106.725,106.134,101.745,102.293,97.659,101.579,105.438,102.216,100.36
9,5B031FDDX00004,77.596,78.77,79.917,80.803,81.884,82.881,83.973,85.314,86.456,87.745,88.894,89.965,90.897,91.81,93.111,94.041,95.039,96.219,97.196,98.56,99.49,100.742,101.713,102.579,103.644,104.614,105.634,106.615,107.511,108.484,109.289,110.31,110.909,111.58,111.982,112.408,112.933,113.289,113.553,113.756,113.876,113.924,113.799,113.54,113.151,112.701,112.402,112.443,112.665,112.657,112.575,112.729,112.905,112.976,113.078,113.417,114.066,114.973,116.125,118.005,119.392,118.752,119.401,120.044,119.871,120.052,121.273,122.724,123.071,120.678,117.377,114.397,113.726,112.199,110.802,110.685,110.473,108.413,107.2,105.938,105.763,105.271,104.765,105.508,99.673,99.344,102.56,106.7,106.097,101.7,102.281,97.714,101.635,105.478,102.218,102.25
10,5B031FDDX00004,77.71,78.904,79.797,80.887,81.845,82.818,84.1,85.301,86.739,87.849,88.857,89.884,90.792,91.954,93.022,93.959,95.162,96.128,97.172,98.702,99.522,100.683,101.681,102.571,103.622,104.627,105.689,106.634,107.483,108.424,109.288,110.287,110.902,111.608,111.989,112.434,112.945,113.294,113.56,113.756,113.877,113.933,113.816,113.557,113.148,112.695,112.418,112.452,112.652,112.64,112.565,112.716,112.879,112.956,113.06,113.401,114.051,114.951,116.109,117.99,119.368,118.73,119.382,120.022,119.847,120.028,121.233,122.707,123.066,120.688,117.377,114.374,113.711,112.186,110.78,110.673,110.464,108.396,107.18,105.925,105.752,105.25,104.741,105.463,99.719,99.305,102.521,106.738,106.158,101.764,102.341,97.658,101.578,105.427,102.19,102.219
11,5B031FDDX00004,77.573,78.722,79.821,80.852,81.894,82.934,84.002,85.229,86.56,87.822,88.886,89.941,90.924,91.747,92.955,93.895,95.109,96.168,97.181,98.64,99.577,100.716,101.702,102.691,103.607,104.607,105.706,106.557,107.538,108.397,109.273,110.298,110.93,111.603,112.003,112.427,112.942,113.295,113.56,113.754,113.877,113.933,113.815,113.559,113.144,112.689,112.416,112.45,112.648,112.637,112.557,112.712,112.886,112.959,113.062,113.401,114.053,114.951,116.103,117.982,119.368,118.722,119.376,120.014,119.834,120.013,121.245,122.704,123.041,120.669,117.361,114.376,113.713,112.184,110.788,110.674,110.456,108.394,107.18,105.924,105.752,105.242,104.731,105.46,99.734,99.337,102.513,106.767,106.204,101.817,102.321,97.596,101.459,105.388,102.186,101.035
12,5B031FDDX00004,77.549,78.789,79.863,80.801,81.925,83.018,84.121,85.44,86.59,87.694,89.14,89.903,90.968,92.096,93.189,94.163,95.204,96.233,97.395,98.757,99.668,100.797,101.818,102.708,103.756,104.725,105.814,106.712,107.637,108.519,109.411,110.346,111.094,111.619,112.045,112.537,113.095,113.439,113.706,113.883,113.95,113.953,113.847,113.619,113.24,112.885,112.573,112.492,112.582,112.534,112.476,112.535,112.669,112.849,113.042,113.469,114.145,115.06,116.119,117.833,119.265,118.971,119.708,120.371,120.396,120.858,121.305,122.79,122.863,120.498,117.647,114.582,113.779,112.613,111.45,110.995,110.692,108.133,108.004,106.08,105.929,106.141,104.045,105.839,99.282,99.809,103.758,107.685,106.508,102.443,103.364,99.175,103.536,106.625,102.466,100.045
13,5B031FDDX00004,77.49,78.678,79.76,80.732,81.854,82.938,84.1,85.355,86.432,87.772,88.924,89.887,90.973,91.979,93.164,94.113,95.128,96.292,97.416,98.675,99.663,100.86,101.82,102.743,103.826,104.725,105.776,106.729,107.621,108.559,109.387,110.384,111.125,111.661,112.061,112.549,113.088,113.437,113.702,113.871,113.929,113.923,113.814,113.575,113.184,112.803,112.474,112.439,112.539,112.553,112.598,112.678,112.893,113.004,113.14,113.53,114.209,115.09,116.111,117.807,119.263,118.984,119.714,120.402,120.392,120.814,121.255,122.769,122.824,120.437,117.518,114.497,113.815,112.603,111.511,111.041,110.734,108.174,107.871,106.138,105.956,106.128,103.988,105.638,99.314,99.758,103.622,107.819,106.671,102.731,103.583,99.192,103.395,106.538,102.328,102.097
14,5B031FDDX00004,77.659,78.752,79.855,80.708,81.883,82.946,84.058,85.25,86.578,87.717,88.761,89.873,90.981,91.949,93.109,93.965,95.144,96.301,97.393,98.738,99.653,100.844,101.838,102.678,103.792,104.733,105.76,106.881,107.641,108.568,109.409,110.379,111.137,111.671,112.093,112.549,113.106,113.463,113.729,113.884,113.947,113.935,113.82,113.583,113.205,112.843,112.529,112.447,112.54,112.49,112.434,112.49,112.638,112.839,113.022,113.441,114.115,115.026,116.091,117.787,119.234,118.937,119.671,120.332,120.337,120.803,121.245,122.732,122.794,120.435,117.576,114.544,113.769,112.582,111.428,110.963,110.668,108.103,107.954,106.042,105.905,106.111,103.98,105.721,99.391,99.724,103.658,107.893,106.672,102.629,103.554,99.106,103.247,106.394,102.351,101.369
15,5B031FDDX00004,77.534,78.85,79.778,80.766,81.961,82.93,84.16,85.256,86.436,87.736,89.068,89.782,90.994,91.956,93.098,93.937,95.232,96.39,97.356,98.75,99.707,100.814,101.727,102.766,103.761,104.738,105.785,106.676,107.676,108.567,109.414,110.381,111.142,111.662,112.099,112.56,113.108,113.468,113.713,113.876,113.931,113.929,113.819,113.579,113.194,112.827,112.5,112.427,112.52,112.479,112.452,112.518,112.703,112.901,113.062,113.464,114.141,115.038,116.088,117.777,119.235,118.935,119.669,120.342,120.332,120.79,121.223,122.72,122.769,120.418,117.555,114.545,113.798,112.586,111.44,110.974,110.679,108.12,107.919,106.066,105.937,106.13,104.011,105.697,99.335,99.688,103.546,107.877,106.764,102.717,103.575,99.116,103.209,106.376,102.352,100.785
16,5B031FDDX00004,77.581,78.702,79.772,80.792,81.952,82.976,84.103,85.314,86.381,87.716,88.917,90.03,90.93,92.089,93.026,94.017,95.253,96.265,97.407,98.746,99.592,100.82,101.787,102.752,103.748,104.698,105.772,106.727,107.712,108.576,109.402,110.401,111.135,111.691,112.101,112.553,113.126,113.466,113.724,113.891,113.944,113.937,113.821,113.582,113.197,112.833,112.518,112.44,112.528,112.477,112.423,112.482,112.623,112.831,113.014,113.43,114.102,115.016,116.072,117.763,119.219,118.92,119.649,120.316,120.317,120.776,121.22,122.698,122.763,120.413,117.572,114.551,113.763,112.575,111.416,110.952,110.662,108.079,107.93,106.06,105.929,106.127,103.967,105.679,99.385,99.644,103.563,107.952,106.806,102.71,103.583,99.05,103.121,106.31,102.328,103.151
17,5B031FDDX00004,77.68,78.654,79.717,80.797,81.855,82.921,83.996,85.329,86.647,87.784,89.058,89.837,90.887,91.958,93.218,94.1,95.132,96.345,97.3,98.661,99.569,100.808,101.757,102.736,103.717,104.783,105.771,106.708,107.641,108.542,109.394,110.388,111.111,111.662,112.1,112.562,113.109,113.464,113.714,113.883,113.939,113.94,113.824,113.583,113.203,112.841,112.525,112.446,112.535,112.486,112.433,112.491,112.634,112.836,113.024,113.44,114.114,115.023,116.079,117.771,119.225,118.924,119.656,120.321,120.325,120.782,121.238,122.717,122.775,120.425,117.581,114.538,113.766,112.577,111.429,110.96,110.675,108.098,107.943,106.057,105.929,106.137,103.986,105.717,99.371,99.648,103.579,107.918,106.725,102.681,103.541,99.11,103.17,106.36,102.367,101.683
18,5B031FDDX00004,76.505,77.703,78.881,79.772,80.902,81.942,83.052,84.361,85.563,86.737,87.887,88.847,89.774,91.014,91.884,92.947,94.037,95.125,96.162,97.461,98.375,99.621,100.513,101.536,102.53,103.428,104.46,105.413,106.321,107.235,108.11,108.959,109.612,110.32,110.65,111.156,111.649,111.992,112.256,112.433,112.63,112.643,112.503,112.206,111.727,111.354,111.044,111.019,111.123,111.162,111.204,111.317,111.508,111.565,111.764,112.195,113.085,114.241,115.507,117.042,118.008,117.539,118.21,118.773,118.139,118.907,119.666,121.454,121.981,118.879,115.83,112.61,111.868,110.019,108.699,109.046,107.775,107.097,104.914,103.085,103.051,103.195,102.298,103.148,97.626,98.696,100.409,103.975,102.504,99.507,97.972,96.474,99.48,103.205,100.143,101.314
19,5B031FDDX00004,76.55,77.707,78.844,79.841,80.967,81.995,83.036,84.386,85.632,86.744,87.74,88.804,89.744,90.894,91.996,92.877,94.152,95.142,96.205,97.423,98.408,99.543,100.533,101.487,102.523,103.404,104.451,105.397,106.292,107.24,108.107,108.96,109.642,110.317,110.666,111.153,111.67,111.974,112.256,112.477,112.608,112.609,112.479,112.189,111.708,111.324,111.028,110.991,111.092,111.134,111.174,111.285,111.48,111.541,111.743,112.173,113.063,114.217,115.485,117.023,117.989,117.525,118.194,118.757,118.132,118.883,119.637,121.408,121.924,118.826,115.789,112.589,111.839,110.012,108.67,109.015,107.751,107.045,104.874,103.067,103.03,103.184,102.234,103.009,97.743,98.551,100.226,104.13,102.712,99.677,98.135,96.434,99.293,102.998,100.027,101.064
20,5B031FDDX00004,76.837,77.9,78.88,79.823,80.808,81.964,83.087,84.387,85.562,86.663,87.893,88.822,89.745,90.872,91.935,92.892,93.988,95.123,96.178,97.433,98.363,99.524,100.509,101.537,102.492,103.424,104.486,105.412,106.311,107.249,108.135,108.976,109.656,110.35,110.694,111.17,111.676,111.996,112.272,112.479,112.608,112.614,112.478,112.178,111.688,111.301,111.005,110.969,111.071,111.107,111.15,111.264,111.459,111.517,111.721,112.15,113.04,114.188,115.462,117.005,117.967,117.512,118.176,118.74,118.113,118.859,119.613,121.379,121.906,118.818,115.754,112.565,111.828,110.007,108.659,109.0,107.741,107.024,104.872,103.066,103.032,103.181,102.205,102.935,97.794,98.423,100.076,104.175,102.803,99.74,98.221,96.394,99.216,102.871,99.883,98.997
21,5B031FDDX00004,76.59,77.827,78.689,79.797,80.927,81.965,83.059,84.32,85.58,86.738,87.787,88.688,89.729,90.858,91.911,92.891,93.989,95.101,96.132,97.439,98.322,99.542,100.541,101.489,102.482,103.457,104.49,105.393,106.338,107.22,108.113,108.953,109.675,110.333,110.679,111.189,111.659,112.002,112.269,112.449,112.587,112.617,112.476,112.175,111.689,111.306,111.01,110.957,111.068,111.111,111.15,111.262,111.453,111.516,111.716,112.142,113.032,114.186,115.45,116.995,117.958,117.495,118.164,118.729,118.1,118.84,119.598,121.359,121.884,118.796,115.755,112.57,111.833,110.015,108.651,108.997,107.735,107.009,104.85,103.055,103.032,103.194,102.193,102.939,97.791,98.405,100.051,104.189,102.871,99.819,98.244,96.43,99.146,102.874,99.891,101.14
22,5B031FDDX00004,76.664,77.692,78.759,79.839,80.927,81.924,83.016,84.364,85.51,86.718,87.695,88.788,89.734,90.951,91.836,92.984,93.95,95.065,96.17,97.435,98.327,99.536,100.568,101.455,102.503,103.421,104.488,105.447,106.281,107.212,108.116,108.98,109.666,110.356,110.694,111.18,111.692,111.984,112.268,112.485,112.602,112.596,112.46,112.165,111.677,111.285,110.995,110.942,111.047,111.088,111.128,111.236,111.43,111.497,111.701,112.123,113.015,114.166,115.427,116.967,117.937,117.465,118.136,118.703,118.073,118.806,119.567,121.326,121.846,118.767,115.742,112.549,111.809,110.005,108.64,108.99,107.727,106.996,104.811,103.05,103.037,103.189,102.165,102.873,97.839,98.33,99.979,104.248,102.966,99.915,98.34,96.376,98.951,102.763,99.834,98.095
