,0,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438,1439,1440,1441,1442,1443,1444,1445,1446,1447,1448,1449,1450,1451,1452,1453,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475,1476,1477,1478,1479,1480,1481,1482,1483,1484,1485,1486,1487,1488,1489,1490,1491,1492,1493,1494,1495,1496,1497,1498,1499,1500,1501,1502,1503,1504,1505,1506,1507,1508,1509
phase,dut_id,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd
freq,,100.0,106.0,112.0,118.0,125.0,132.0,140.0,150.0,160.0,170.0,180.0,190.0,200.0,212.0,224.0,236.0,250.0,265.0,280.0,300.0,315.0,335.0,355.0,375.0,400.0,425.0,450.0,475.0,500.0,530.0,560.0,600.0,630.0,670.0,710.0,750.0,800.0,850.0,900.0,950.0,1000.0,1060.0,1120.0,1180.0,1250.0,1320.0,1400.0,1500.0,1600.0,1700.0,1800.0,1900.0,2000.0,2120.0,2240.0,2360.0,2500.0,2650.0,2800.0,3000.0,3150.0,3350.0,3550.0,3750.0,4000.0,4250.0,4500.0,4750.0,5000.0,5300.0,5600.0,6000.0,6300.0,6700.0,7100.0,7500.0,8000.0,8500.0,9000.0,9500.0,10000.0
0,5B031FDDX00004,31.336,30.51,31.153,31.489,31.916,32.295,33.006,34.021,34.889,36.367,37.606,38.95,40.793,42.341,42.832,43.767,44.273,43.229,40.89,36.997,33.942,29.851,25.321,21.637,16.728,13.098,11.122,9.64,8.801,7.607,6.749,6.051,6.069,6.051,6.074,6.258,6.338,6.304,6.358,6.573,6.809,6.908,6.504,6.69,7.253,7.164,7.207,7.426,8.643,7.926,6.278,5.026,4.189,3.962,3.591,3.487,3.055,1.889,1.119,0.785,0.573,0.527,0.53,0.62,0.988,1.222,2.245,2.365,2.299,2.08,1.646,1.806,1.291,0.797,1.137,1.157,0.675,0.569,0.056,0.247,0.356
1,5B031FDDX00004,30.547,30.601,30.894,31.377,31.795,32.224,33.158,35.138,35.049,36.416,37.427,39.056,41.098,42.302,42.98,43.798,44.2,43.206,40.93,37.39,34.246,30.078,25.177,21.755,16.647,13.221,11.163,9.691,8.783,7.666,6.703,6.103,6.012,6.063,6.082,6.112,6.389,6.365,6.37,6.542,6.715,6.903,6.536,6.671,7.23,7.167,7.181,7.409,8.628,7.91,6.235,5.009,4.159,3.923,3.586,3.464,3.037,1.878,1.108,0.793,0.571,0.521,0.526,0.622,0.986,1.219,2.235,2.348,2.263,2.077,1.668,1.825,1.271,0.8,1.123,1.11,0.636,0.578,0.1,0.245,0.382
2,5B031FDDX00004,30.701,30.483,30.541,31.137,31.28,31.975,33.304,34.587,35.735,36.612,37.908,39.689,41.029,42.954,43.387,44.103,43.584,42.344,41.128,37.049,34.312,30.2,25.252,21.422,16.644,13.106,11.195,9.628,8.765,7.492,6.676,6.081,6.075,6.135,6.026,6.214,6.337,6.359,6.389,6.503,6.732,6.902,6.527,6.673,7.221,7.125,7.155,7.436,8.669,7.976,6.272,5.017,4.151,3.927,3.576,3.499,3.062,1.888,1.11,0.788,0.571,0.518,0.521,0.609,0.977,1.221,2.227,2.353,2.277,2.064,1.67,1.837,1.275,0.798,1.124,1.127,0.667,0.512,0.079,0.27,0.362
3,5B031FDDX00004,30.569,30.787,30.657,31.5,31.861,32.669,32.844,33.952,34.921,36.111,37.138,39.184,40.594,42.363,42.97,44.039,43.466,42.623,40.872,36.676,34.03,30.039,25.649,21.433,16.665,13.188,11.255,9.672,8.764,7.72,6.708,6.089,5.996,5.98,6.11,6.187,6.32,6.34,6.339,6.471,6.696,6.891,6.495,6.703,7.239,7.127,7.176,7.395,8.635,7.887,6.29,5.026,4.188,3.91,3.565,3.473,3.047,1.89,1.119,0.778,0.568,0.531,0.52,0.612,0.985,1.22,2.235,2.362,2.281,2.081,1.657,1.809,1.288,0.807,1.137,1.085,0.686,0.582,0.077,0.259,0.352
4,5B031FDDX00004,30.706,30.584,30.871,30.819,31.65,32.435,33.016,34.017,35.176,35.401,37.395,38.677,40.975,42.937,43.548,43.893,43.922,42.883,40.639,36.796,34.127,30.044,25.091,21.442,16.651,13.105,11.182,9.895,8.641,7.649,6.7,6.001,6.029,6.066,6.014,6.228,6.322,6.292,6.357,6.55,6.692,6.89,6.515,6.716,7.181,7.115,7.11,7.447,8.623,7.931,6.255,5.025,4.142,3.928,3.591,3.486,3.063,1.912,1.101,0.78,0.574,0.518,0.519,0.618,0.974,1.22,2.209,2.343,2.245,2.049,1.652,1.82,1.313,0.807,1.149,1.138,0.671,0.565,0.024,0.183,0.259
5,5B031FDDX00004,30.718,30.837,30.761,31.29,31.714,32.125,32.872,33.508,35.204,36.014,37.813,38.811,40.719,42.888,42.952,43.745,44.027,42.973,40.727,37.045,34.144,30.246,25.145,21.468,16.677,13.134,11.137,9.68,8.715,7.655,6.671,6.073,6.009,5.959,5.988,6.237,6.322,6.291,6.311,6.477,6.686,6.866,6.502,6.683,7.18,7.179,7.21,7.389,8.579,7.888,6.259,5.016,4.169,3.914,3.58,3.486,3.046,1.901,1.113,0.774,0.567,0.527,0.522,0.613,0.975,1.216,2.217,2.344,2.263,2.067,1.64,1.816,1.285,0.789,1.113,1.117,0.672,0.586,0.056,0.233,0.342
6,5B031FDDX00004,31.001,31.19,30.553,31.921,32.363,33.178,33.653,34.9,35.612,36.66,38.691,39.457,41.541,42.522,43.605,44.575,43.622,42.811,41.28,36.921,33.876,29.824,25.673,21.573,16.668,13.168,11.152,9.614,8.766,7.586,6.637,6.099,6.071,6.031,6.075,6.36,6.47,6.392,6.58,6.679,6.865,7.042,6.54,6.663,7.194,7.335,7.283,8.031,8.989,8.311,6.479,4.984,4.085,3.646,3.549,3.524,3.108,1.956,1.092,0.742,0.543,0.525,0.504,0.614,1.04,1.38,2.116,2.265,2.141,1.867,1.757,1.834,1.245,0.942,1.197,1.081,0.625,0.517,0.055,0.17,0.3
