dut_id:5B031FDDX00004 result:PASS time:50.563 device_config: EM17-GB2R-ESS10 station_id: 4CS4_FVN-E2F3-G01_FATP-AUDIO_BJ26A-03
phase,measurement,value,low_limit,high_limit,low_limit2,high_limit2
init_test_thread,Battery_Capacity,47.0,30.0 , 100.0,30.0 , 100.0
init_test_thread,speaker_cal,true,'x' is True
initial_dut_temperature,battery_temp,26.2,-inf , +inf,-inf , +inf
DeviceInit,connection_type,"""WIFI""",'x' is not None
analyze_mic_filters,fit-time,0.29834379999374505,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_mean-error,0.3163768094272089,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_rms-error,0.40771038631724454,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_max-error,1.0423384547707215,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_max-error-freq,3550.0,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_filter-1-freq,9193.663736664002,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_filter-1-gain,-2.724178592063165,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_filter-1-qual,3.059796480819437,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_filter-2-freq,10997.354237646843,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_filter-2-gain,-6.547611654727021,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_filter-2-qual,4.138817095472328,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_filter-3-freq,12029.616119128536,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_filter-3-gain,-11.328581039656385,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_filter-3-qual,5.999999999999999,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_validation-status,"""solver""",'x' is not None
analyze_mic_filters,mic-1_fr_predicted_00100.0,-38.028,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_fr_predicted_00106.0,-37.791,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_fr_predicted_00112.0,-37.585,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_fr_predicted_00118.0,-37.458,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_fr_predicted_00125.0,-37.313,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_fr_predicted_00132.0,-37.24,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_fr_predicted_00140.0,-37.26,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_fr_predicted_00150.0,-37.276,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_fr_predicted_00160.0,-37.268,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_fr_predicted_00170.0,-37.243,-inf , +inf,-inf , +inf
analyze_mic_filters,mic-1_fr_predicted_00180.0,-37.195,-inf , +inf,-inf , +inf
